[0, 0, 0]
Voltage_1 (1)	Current_1 (1)
-5.000502E-01	-2.372226E-03
-4.909950E-01	-2.355224E-03
-4.818990E-01	-2.323571E-03
-4.728542E-01	-2.296005E-03
-4.637328E-01	-2.266166E-03
-4.546282E-01	-2.234769E-03
-4.455765E-01	-2.203373E-03
-4.364218E-01	-2.172298E-03
-4.274133E-01	-2.141499E-03
-4.183717E-01	-2.108786E-03
-4.092270E-01	-2.076468E-03
-4.000498E-01	-2.052006E-03
-3.910494E-01	-2.018211E-03
-3.819931E-01	-1.986108E-03
-3.728358E-01	-1.955685E-03
-3.638010E-01	-1.927387E-03
-3.545871E-01	-1.894497E-03
-3.455387E-01	-1.861905E-03
-3.365258E-01	-1.833084E-03
-3.274040E-01	-1.801430E-03
-3.183164E-01	-1.768293E-03
-3.091299E-01	-1.736381E-03
-3.001312E-01	-1.705158E-03
-2.910181E-01	-1.670463E-03
-2.818730E-01	-1.636868E-03
-2.727592E-01	-1.603513E-03
-2.637154E-01	-1.570029E-03
-2.547006E-01	-1.535090E-03
-2.455126E-01	-1.499319E-03
-2.364573E-01	-1.463225E-03
-2.273437E-01	-1.425768E-03
-2.182823E-01	-1.386520E-03
-2.091640E-01	-1.349070E-03
-2.000843E-01	-1.308970E-03
-1.908695E-01	-1.266021E-03
-1.819955E-01	-1.221581E-03
-1.728532E-01	-1.178850E-03
-1.637765E-01	-1.133998E-03
-1.547036E-01	-1.082681E-03
-1.456339E-01	-1.034465E-03
-1.364518E-01	-9.842062E-04
-1.274191E-01	-9.338558E-04
-1.183753E-01	-8.784173E-04
-1.090771E-01	-8.228622E-04
-1.000506E-01	-7.661331E-04
-9.091136E-02	-7.077488E-04
-8.187311E-02	-6.455527E-04
-7.285567E-02	-5.810809E-04
-6.366223E-02	-5.177250E-04
-5.461185E-02	-4.503873E-04
-4.544127E-02	-3.780922E-04
-3.638519E-02	-3.084090E-04
-2.728268E-02	-2.363909E-04
-1.834511E-02	-1.576537E-04
-9.158679E-03	-7.995071E-05
+2.933788E-05	-1.742793E-06
+8.995724E-03	+8.171279E-05
+1.813657E-02	+1.654676E-04
+2.714727E-02	+2.526280E-04
+3.635824E-02	+3.409130E-04
+4.542609E-02	+4.321838E-04
+5.461368E-02	+5.284290E-04
+6.363533E-02	+6.224948E-04
+7.281808E-02	+7.203477E-04
+8.200280E-02	+8.240198E-04
+9.103020E-02	+9.252382E-04
+9.997211E-02	+1.029875E-03
+1.090104E-01	+1.135643E-03
+1.182429E-01	+1.245241E-03
+1.272892E-01	+1.357734E-03
+1.363246E-01	+1.474890E-03
+1.453120E-01	+1.587773E-03
+1.545683E-01	+1.706746E-03
+1.635941E-01	+1.830760E-03
+1.726213E-01	+1.952118E-03
+1.817575E-01	+2.075825E-03
+1.907626E-01	+2.202736E-03
+1.998393E-01	+2.331923E-03
+2.090110E-01	+2.468553E-03
+2.182753E-01	+2.600082E-03
+2.272734E-01	+2.734920E-03
+2.363757E-01	+2.873206E-03
+2.454133E-01	+3.013941E-03
+2.545050E-01	+3.159820E-03
+2.635478E-01	+3.301345E-03
+2.726150E-01	+3.449920E-03
+2.817155E-01	+3.597253E-03
+2.909305E-01	+3.754085E-03
+2.998537E-01	+3.908845E-03
+3.089980E-01	+4.063613E-03
+3.180651E-01	+4.217116E-03
+3.273321E-01	+4.377451E-03
+3.362611E-01	+4.545333E-03
+3.455113E-01	+4.711952E-03
+3.545008E-01	+4.872126E-03
+3.635249E-01	+5.041710E-03
+3.727487E-01	+5.219846E-03
+3.818234E-01	+5.391768E-03
+3.908331E-01	+5.564794E-03
+4.001344E-01	+5.740881E-03
+4.092211E-01	+5.925258E-03
+4.182132E-01	+6.108587E-03
+4.272938E-01	+6.297608E-03
+4.362743E-01	+6.486509E-03
+4.453789E-01	+6.666992E-03
+4.545766E-01	+6.861043E-03
+4.636008E-01	+7.059973E-03
+4.727201E-01	+7.259577E-03
+4.817522E-01	+7.446646E-03
+4.909096E-01	+7.649936E-03
+4.999708E-01	+7.851456E-03
+5.091129E-01	+8.065941E-03
+5.181605E-01	+8.275625E-03
+5.272670E-01	+8.475746E-03
+5.363523E-01	+8.687411E-03
+5.455297E-01	+8.907321E-03
+5.545225E-01	+9.131753E-03
+5.635712E-01	+9.340947E-03
+5.726737E-01	+9.563485E-03
+5.819567E-01	+9.788089E-03
+5.902457E-01	+1.000093E-02
+5.897388E-01	+1.000034E-02
+5.896026E-01	+9.999913E-03
+5.896886E-01	+1.000017E-02
+5.892344E-01	+1.000023E-02
+5.891643E-01	+9.999665E-03
+5.886580E-01	+9.999350E-03
+5.891221E-01	+1.000027E-02
+5.891683E-01	+1.000046E-02
+5.889795E-01	+1.000026E-02
+5.884237E-01	+9.999112E-03
+5.885978E-01	+1.000038E-02
+5.884295E-01	+9.999545E-03
+5.888071E-01	+9.999362E-03
+5.886083E-01	+1.000002E-02
+5.882273E-01	+9.999292E-03
+5.880472E-01	+9.999247E-03
+5.885510E-01	+9.999659E-03
+5.882747E-01	+9.998783E-03
+5.882161E-01	+1.000001E-02
+5.879642E-01	+9.999281E-03
+5.880981E-01	+9.999026E-03
+5.884218E-01	+1.000100E-02
+5.883073E-01	+1.000027E-02
+5.881607E-01	+9.998517E-03
+5.878655E-01	+9.999394E-03
+5.883085E-01	+1.000115E-02
+5.882097E-01	+9.999464E-03
+5.883225E-01	+9.999816E-03
+5.880057E-01	+9.999302E-03
