[0, 0, 0]
Voltage_1 (1)	Current_1 (1)
-5.002587E-01	-6.159068E-03
-4.911002E-01	-5.834543E-03
-4.818697E-01	-5.775942E-03
-4.728877E-01	-6.014797E-03
-4.638661E-01	-5.917819E-03
-4.546691E-01	-5.757952E-03
-4.455749E-01	-5.703114E-03
-4.365978E-01	-5.884714E-03
-4.276158E-01	-5.801602E-03
-4.183650E-01	-5.491188E-03
-4.092200E-01	-5.591231E-03
-4.001552E-01	-5.430365E-03
-3.911064E-01	-5.629031E-03
-3.820259E-01	-5.450673E-03
-3.729206E-01	-5.320102E-03
-3.638031E-01	-5.296273E-03
-3.547366E-01	-5.454476E-03
-3.456862E-01	-5.388236E-03
-3.365562E-01	-5.101637E-03
-3.274209E-01	-5.145307E-03
-3.183640E-01	-5.169332E-03
-3.093366E-01	-5.162131E-03
-3.001419E-01	-5.045555E-03
-2.910679E-01	-4.942822E-03
-2.819398E-01	-4.813144E-03
-2.728423E-01	-4.992771E-03
-2.637245E-01	-4.936280E-03
-2.545880E-01	-4.667346E-03
-2.454574E-01	-4.682253E-03
-2.364488E-01	-4.710061E-03
-2.274851E-01	-4.682126E-03
-2.182461E-01	-4.430903E-03
-2.092031E-01	-4.387404E-03
-2.000558E-01	-4.380953E-03
-1.910200E-01	-4.503599E-03
-1.818500E-01	-4.453600E-03
-1.728729E-01	-4.207761E-03
-1.637801E-01	-4.190103E-03
-1.546674E-01	-4.194002E-03
-1.457571E-01	-4.209031E-03
-1.364569E-01	-3.965901E-03
-1.273774E-01	-3.890408E-03
-1.182601E-01	-4.007079E-03
-1.092031E-01	-3.946684E-03
-1.001101E-01	-3.928528E-03
-9.098683E-02	-3.701367E-03
-8.191773E-02	-3.692515E-03
-7.283287E-02	-3.717935E-03
-6.376292E-02	-3.608715E-03
-5.464322E-02	-3.434338E-03
-4.551404E-02	-3.425188E-03
-3.638583E-02	-3.498832E-03
-2.739748E-02	-3.287628E-03
-1.825488E-02	-3.187273E-03
-9.279096E-03	-3.254727E-03
-2.386193E-05	-3.203501E-03
+8.973532E-03	-3.171043E-03
+1.809251E-02	-2.967888E-03
+2.729343E-02	-2.916556E-03
+3.627313E-02	-2.908152E-03
+4.542745E-02	-2.867142E-03
+5.459815E-02	-2.663258E-03
+6.363875E-02	-2.597335E-03
+7.265981E-02	-2.663515E-03
+8.169540E-02	-2.534951E-03
+9.082557E-02	-2.407336E-03
+9.999431E-02	-2.309239E-03
+1.090371E-01	-2.298293E-03
+1.180847E-01	-2.251908E-03
+1.271714E-01	-2.194242E-03
+1.363485E-01	-2.005533E-03
+1.454177E-01	-1.920527E-03
+1.545623E-01	-1.905823E-03
+1.634990E-01	-1.869022E-03
+1.726047E-01	-1.760653E-03
+1.817271E-01	-1.586401E-03
+1.907516E-01	-1.571381E-03
+1.998079E-01	-1.432684E-03
+2.090441E-01	-1.422673E-03
+2.181324E-01	-1.271806E-03
+2.271825E-01	-1.144931E-03
+2.363481E-01	-1.045473E-03
+2.454321E-01	-1.017291E-03
+2.542999E-01	-8.394562E-04
+2.636814E-01	-7.442216E-04
+2.724929E-01	-6.882998E-04
+2.816193E-01	-5.735366E-04
+2.908200E-01	-3.950211E-04
+2.998689E-01	-2.628830E-04
+3.090323E-01	-1.338586E-04
+3.188819E-01	-1.094370E-05
+3.280458E-01	+9.285536E-05
+3.363783E-01	+2.526014E-04
+3.455149E-01	+3.759447E-04
+3.544493E-01	+4.720522E-04
+3.635378E-01	+6.431940E-04
+3.726673E-01	+7.997676E-04
+3.818887E-01	+9.562611E-04
+3.909657E-01	+1.077418E-03
+3.999761E-01	+1.252735E-03
+4.090366E-01	+1.393327E-03
+4.180235E-01	+1.589910E-03
+4.272685E-01	+1.760010E-03
+4.363395E-01	+1.914202E-03
+4.454119E-01	+2.072798E-03
+4.544161E-01	+2.250916E-03
+4.636104E-01	+2.453083E-03
+4.727697E-01	+2.622283E-03
+4.817704E-01	+2.799173E-03
+4.908763E-01	+2.986137E-03
+4.998770E-01	+3.179223E-03
+5.091022E-01	+3.382368E-03
+5.178840E-01	+3.573690E-03
+5.271941E-01	+3.755226E-03
+5.363155E-01	+3.957122E-03
+5.453408E-01	+4.170396E-03
+5.544650E-01	+4.371646E-03
+5.636244E-01	+4.572557E-03
+5.726850E-01	+4.780350E-03
+5.818081E-01	+4.999470E-03
+5.908207E-01	+5.206517E-03
+6.000405E-01	+5.419524E-03
+6.089336E-01	+5.629209E-03
+6.181370E-01	+5.852977E-03
+6.271009E-01	+6.080603E-03
+6.364313E-01	+6.297612E-03
+6.454893E-01	+6.527149E-03
+6.543897E-01	+6.751897E-03
+6.634752E-01	+6.992706E-03
+6.726512E-01	+7.227706E-03
+6.819448E-01	+7.446525E-03
+6.909466E-01	+7.689025E-03
+6.999561E-01	+7.932478E-03
+7.089672E-01	+8.161207E-03
+7.182270E-01	+8.429863E-03
+7.272796E-01	+8.663581E-03
+7.363635E-01	+8.904694E-03
+7.454422E-01	+9.149091E-03
+7.545053E-01	+9.431033E-03
+7.637026E-01	+9.690774E-03
+7.726931E-01	+9.925761E-03
+7.751485E-01	+1.000079E-02
+7.742570E-01	+9.998938E-03
+7.738041E-01	+9.999677E-03
