[0, 0, 0]
Voltage_1 (1)	Current_1 (1)
-5.001705E-01	-4.028168E-03
-4.910967E-01	-3.999049E-03
-4.820541E-01	-3.950544E-03
-4.728252E-01	-3.884318E-03
-4.637984E-01	-3.816614E-03
-4.547459E-01	-3.754576E-03
-4.456251E-01	-3.687928E-03
-4.365883E-01	-3.616850E-03
-4.274211E-01	-3.548773E-03
-4.184745E-01	-3.477916E-03
-4.092371E-01	-3.406633E-03
-4.001910E-01	-3.334527E-03
-3.911116E-01	-3.267425E-03
-3.819261E-01	-3.198732E-03
-3.729577E-01	-3.129424E-03
-3.638846E-01	-3.056267E-03
-3.547741E-01	-2.987538E-03
-3.456605E-01	-2.917591E-03
-3.365502E-01	-2.844902E-03
-3.273206E-01	-2.775485E-03
-3.182917E-01	-2.709719E-03
-3.092520E-01	-2.634430E-03
-3.001342E-01	-2.564393E-03
-2.909992E-01	-2.498271E-03
-2.819050E-01	-2.427640E-03
-2.729183E-01	-2.354322E-03
-2.637932E-01	-2.284464E-03
-2.546913E-01	-2.215010E-03
-2.455637E-01	-2.143564E-03
-2.364725E-01	-2.069443E-03
-2.273036E-01	-2.000816E-03
-2.183407E-01	-1.931820E-03
-2.092399E-01	-1.855742E-03
-2.002099E-01	-1.784837E-03
-1.910757E-01	-1.714210E-03
-1.819617E-01	-1.642133E-03
-1.728162E-01	-1.567131E-03
-1.637995E-01	-1.495406E-03
-1.546404E-01	-1.426943E-03
-1.457094E-01	-1.349321E-03
-1.366290E-01	-1.273812E-03
-1.273834E-01	-1.203383E-03
-1.183518E-01	-1.126886E-03
-1.092760E-01	-1.046973E-03
-1.001547E-01	-9.673194E-04
-9.107147E-02	-8.888602E-04
-8.196157E-02	-8.108704E-04
-7.284176E-02	-7.276947E-04
-6.376329E-02	-6.430473E-04
-5.468348E-02	-5.590980E-04
-4.571625E-02	-4.739669E-04
-3.657404E-02	-3.829575E-04
-2.744550E-02	-2.905299E-04
-1.816667E-02	-2.012730E-04
-9.242597E-03	-1.032358E-04
-2.822290E-04	-4.415860E-06
+9.049912E-03	+9.642637E-05
+1.812356E-02	+2.043790E-04
+2.727228E-02	+3.111575E-04
+3.631330E-02	+4.271290E-04
+4.545839E-02	+5.440279E-04
+5.447852E-02	+6.625159E-04
+6.362317E-02	+7.866777E-04
+7.272125E-02	+9.168067E-04
+8.183268E-02	+1.043107E-03
+9.088255E-02	+1.185788E-03
+9.995870E-02	+1.327404E-03
+1.090734E-01	+1.472321E-03
+1.181275E-01	+1.619352E-03
+1.271707E-01	+1.775853E-03
+1.364191E-01	+1.938493E-03
+1.453823E-01	+2.097081E-03
+1.545264E-01	+2.266115E-03
+1.636666E-01	+2.440836E-03
+1.727023E-01	+2.617750E-03
+1.816869E-01	+2.798534E-03
