[0, 0, 0]
Voltage_1 (1)	Current_1 (1)
-5.001279E-01	-1.595152E-03
-4.910406E-01	-1.556812E-03
-4.819011E-01	-1.514744E-03
-4.729085E-01	-1.476378E-03
-4.636921E-01	-1.441907E-03
-4.547275E-01	-1.404522E-03
-4.454892E-01	-1.365738E-03
-4.365157E-01	-1.330460E-03
-4.273323E-01	-1.299286E-03
-4.182759E-01	-1.261164E-03
-4.092686E-01	-1.225402E-03
-4.001325E-01	-1.195121E-03
-3.911395E-01	-1.163074E-03
-3.819689E-01	-1.127506E-03
-3.729155E-01	-1.092236E-03
-3.638161E-01	-1.063222E-03
-3.546922E-01	-1.030714E-03
-3.456057E-01	-9.957827E-04
-3.365450E-01	-9.622157E-04
-3.274617E-01	-9.371552E-04
-3.183260E-01	-9.051820E-04
-3.091834E-01	-8.714495E-04
-3.000953E-01	-8.403659E-04
-2.910904E-01	-8.138192E-04
-2.819078E-01	-7.874570E-04
-2.728412E-01	-7.591946E-04
-2.636988E-01	-7.253753E-04
-2.546838E-01	-7.004516E-04
-2.455117E-01	-6.752505E-04
-2.364649E-01	-6.432660E-04
-2.274805E-01	-6.160821E-04
-2.183195E-01	-5.921277E-04
-2.091332E-01	-5.663951E-04
-1.999948E-01	-5.392319E-04
-1.910241E-01	-5.115218E-04
-1.820389E-01	-4.939173E-04
-1.730271E-01	-4.668231E-04
-1.638752E-01	-4.389872E-04
-1.546780E-01	-4.185578E-04
-1.456671E-01	-3.952876E-04
-1.365132E-01	-3.687244E-04
-1.274837E-01	-3.442148E-04
-1.183795E-01	-3.233613E-04
-1.092341E-01	-3.003151E-04
-1.001796E-01	-2.705980E-04
-9.111930E-02	-2.485682E-04
-8.197951E-02	-2.286454E-04
-7.279228E-02	-2.009668E-04
-6.371850E-02	-1.771919E-04
-5.469447E-02	-1.559778E-04
-4.552136E-02	-1.324605E-04
-3.652067E-02	-1.051840E-04
-2.742351E-02	-7.962373E-05
-1.798943E-02	-5.632664E-05
-9.204543E-03	-3.334997E-05
-2.822278E-04	-5.921849E-06
+9.017912E-03	+2.471794E-05
+1.815341E-02	+5.352608E-05
+2.710412E-02	+8.942051E-05
+3.639710E-02	+1.218317E-04
+4.548797E-02	+1.545553E-04
+5.446506E-02	+1.920749E-04
+6.357454E-02	+2.389565E-04
+7.266936E-02	+2.787934E-04
+8.177043E-02	+3.224027E-04
+9.086411E-02	+3.799297E-04
+9.992801E-02	+4.341157E-04
+1.090391E-01	+4.907321E-04
+1.182416E-01	+5.514746E-04
+1.271380E-01	+6.216618E-04
+1.361966E-01	+6.955258E-04
+1.454829E-01	+7.677841E-04
+1.545838E-01	+8.543301E-04
+1.636580E-01	+9.467216E-04
+1.725412E-01	+1.039067E-03
+1.817716E-01	+1.148128E-03
+1.908109E-01	+1.256870E-03
+1.999705E-01	+1.371747E-03
+2.088974E-01	+1.498693E-03
+2.181522E-01	+1.634751E-03
+2.271914E-01	+1.771649E-03
+2.363133E-01	+1.921909E-03
+2.453207E-01	+2.084197E-03
+2.545460E-01	+2.250873E-03
+2.636275E-01	+2.424931E-03
+2.725776E-01	+2.611763E-03
+2.818031E-01	+2.814660E-03
+2.907988E-01	+3.015482E-03
+2.999703E-01	+3.231949E-03
+3.090900E-01	+3.461486E-03
+3.180138E-01	+3.697740E-03
+3.272191E-01	+3.941706E-03
+3.363940E-01	+4.199161E-03
+3.453183E-01	+4.468497E-03
+3.546325E-01	+4.748389E-03
+3.637386E-01	+5.031191E-03
+3.727849E-01	+5.334918E-03
+3.817907E-01	+5.647213E-03
+3.908238E-01	+5.962108E-03
+3.999225E-01	+6.294416E-03
+4.090132E-01	+6.639788E-03
+4.182307E-01	+6.997523E-03
+4.271975E-01	+7.363696E-03
+4.362800E-01	+7.736333E-03
+4.453246E-01	+8.120903E-03
+4.545538E-01	+8.529534E-03
+4.636159E-01	+8.935019E-03
+4.726982E-01	+9.351235E-03
+4.818522E-01	+9.784912E-03
+4.862929E-01	+9.999652E-03
+4.861836E-01	+9.999896E-03
+4.863298E-01	+1.000023E-02
+4.861945E-01	+9.999449E-03
+4.862730E-01	+1.000005E-02
+4.864127E-01	+1.000084E-02
+4.863917E-01	+9.998517E-03
+4.863070E-01	+9.999854E-03
+4.863175E-01	+9.999838E-03
+4.865038E-01	+1.000030E-02
+4.865335E-01	+1.000094E-02
+4.866164E-01	+1.000052E-02
+4.863754E-01	+9.999625E-03
+4.865154E-01	+9.999140E-03
+4.866189E-01	+9.998739E-03
+4.865487E-01	+9.998630E-03
+4.866609E-01	+9.999204E-03
+4.868335E-01	+1.000029E-02
+4.869385E-01	+1.000100E-02
+4.866652E-01	+9.998479E-03
+4.868143E-01	+9.999973E-03
+4.868324E-01	+9.998365E-03
+4.869500E-01	+9.999262E-03
+4.869630E-01	+9.999855E-03
+4.869138E-01	+9.999637E-03
+4.871686E-01	+9.999647E-03
+4.872272E-01	+9.999708E-03
+4.871965E-01	+1.000010E-02
+4.872334E-01	+1.000004E-02
+4.874685E-01	+9.999904E-03
+4.875217E-01	+9.999599E-03
+4.873298E-01	+9.998051E-03
+4.874645E-01	+9.999475E-03
+4.876440E-01	+9.999264E-03
+4.876447E-01	+9.998701E-03
+4.876285E-01	+9.999658E-03
+4.877776E-01	+1.000040E-02
+4.878851E-01	+1.000042E-02
+4.879875E-01	+1.000007E-02
+4.877282E-01	+9.999119E-03
+4.879506E-01	+1.000055E-02
+4.879828E-01	+1.000085E-02
+4.882756E-01	+1.000052E-02
+4.880391E-01	+9.999188E-03
+4.881873E-01	+1.000054E-02
+4.883551E-01	+1.000002E-02

