[0, 0, 0]
Voltage_1 (1)	Current_1 (1)
-5.001688E-01	-3.708448E-03
-4.910856E-01	-3.632389E-03
-4.819865E-01	-3.551434E-03
-4.729440E-01	-3.476723E-03
-4.637342E-01	-3.405035E-03
-4.547283E-01	-3.329402E-03
-4.455901E-01	-3.252286E-03
-4.365355E-01	-3.178949E-03
-4.274259E-01	-3.109002E-03
-4.183801E-01	-3.032552E-03
-4.092729E-01	-2.958833E-03
-4.001457E-01	-2.891941E-03
-3.910536E-01	-2.820256E-03
-3.819780E-01	-2.744481E-03
-3.728864E-01	-2.676400E-03
-3.638139E-01	-2.606977E-03
-3.546449E-01	-2.535203E-03
-3.455630E-01	-2.462907E-03
-3.365258E-01	-2.395920E-03
-3.273965E-01	-2.327666E-03
-3.182918E-01	-2.252416E-03
-3.092138E-01	-2.186841E-03
-3.000873E-01	-2.118998E-03
-2.911011E-01	-2.050166E-03
-2.819881E-01	-1.981054E-03
-2.728341E-01	-1.914651E-03
-2.637120E-01	-1.851778E-03
-2.547126E-01	-1.782969E-03
-2.455667E-01	-1.715839E-03
-2.364444E-01	-1.656210E-03
-2.273726E-01	-1.589365E-03
-2.183329E-01	-1.521770E-03
-2.092197E-01	-1.461962E-03
-1.999936E-01	-1.398391E-03
-1.910047E-01	-1.333957E-03
-1.819488E-01	-1.267473E-03
-1.727224E-01	-1.206644E-03
-1.638038E-01	-1.145516E-03
-1.547139E-01	-1.076848E-03
-1.457008E-01	-1.016075E-03
-1.365737E-01	-9.511788E-04
-1.273546E-01	-8.938249E-04
-1.182331E-01	-8.295554E-04
-1.093124E-01	-7.646754E-04
-1.001435E-01	-7.059750E-04
-9.112636E-02	-6.459075E-04
-8.201069E-02	-5.817908E-04
-7.280877E-02	-5.171322E-04
-6.374314E-02	-4.573175E-04
-5.462236E-02	-3.941783E-04
-4.552951E-02	-3.263125E-04
-3.642878E-02	-2.649090E-04
-2.732989E-02	-2.029194E-04
-1.831449E-02	-1.319954E-04
-9.227770E-03	-6.708855E-05
-1.625251E-05	-5.585752E-06
+9.125404E-03	+6.397298E-05
+1.812831E-02	+1.304148E-04
+2.720110E-02	+2.018876E-04
+3.641209E-02	+2.696984E-04
+4.533002E-02	+3.419547E-04
+5.456515E-02	+4.215948E-04
+6.364027E-02	+4.951943E-04
+7.268976E-02	+5.704951E-04
+8.183978E-02	+6.561665E-04
+9.089123E-02	+7.377515E-04
+9.989493E-02	+8.220735E-04
+1.091652E-01	+9.079449E-04
+1.181053E-01	+1.000976E-03
+1.273105E-01	+1.090467E-03
+1.362972E-01	+1.194344E-03
+1.454203E-01	+1.294720E-03
+1.545361E-01	+1.396914E-03
+1.635819E-01	+1.510008E-03
+1.726505E-01	+1.625453E-03
+1.818345E-01	+1.743911E-03
+1.910145E-01	+1.865529E-03
+1.998683E-01	+1.993765E-03
+2.090605E-01	+2.131879E-03
+2.180792E-01	+2.267769E-03
+2.272107E-01	+2.415044E-03
+2.362094E-01	+2.569506E-03
+2.454376E-01	+2.729345E-03
+2.545141E-01	+2.894936E-03
+2.635717E-01	+3.068258E-03
+2.725495E-01	+3.252847E-03
+2.816825E-01	+3.439420E-03
+2.908299E-01	+3.633155E-03
+2.998720E-01	+3.842406E-03
+3.089998E-01	+4.056227E-03
+3.179948E-01	+4.274053E-03
+3.273664E-01	+4.501245E-03
+3.363635E-01	+4.742195E-03
+3.454064E-01	+4.988877E-03
+3.545426E-01	+5.237147E-03
+3.635986E-01	+5.503938E-03
+3.727522E-01	+5.779762E-03
+3.817625E-01	+6.054724E-03
+3.908722E-01	+6.346214E-03
+3.999837E-01	+6.646395E-03
+4.090941E-01	+6.957007E-03
+4.182079E-01	+7.272519E-03
+4.272609E-01	+7.597648E-03
+4.363519E-01	+7.937615E-03
+4.454177E-01	+8.278700E-03
+4.544649E-01	+8.630066E-03
+4.636643E-01	+8.994341E-03
+4.728623E-01	+9.367662E-03
+4.817419E-01	+9.744396E-03
+4.878916E-01	+1.000013E-02
+4.879121E-01	+1.000019E-02
+4.877948E-01	+9.999048E-03
+4.882101E-01	+1.000035E-02
+4.880662E-01	+9.998349E-03
+4.882966E-01	+1.000079E-02
+4.882510E-01	+1.000068E-02
+4.882342E-01	+9.999377E-03
+4.885083E-01	+1.000038E-02
+4.884358E-01	+9.999729E-03
+4.883417E-01	+9.999669E-03
+4.885022E-01	+9.998332E-03
+4.886645E-01	+1.000019E-02
+4.888017E-01	+9.999907E-03
+4.887118E-01	+9.999578E-03
+4.888497E-01	+9.999414E-03
+4.888248E-01	+9.998436E-03
+4.887477E-01	+9.997954E-03
+4.889807E-01	+9.999942E-03
+4.891430E-01	+1.000100E-02
+4.892004E-01	+9.999973E-03
+4.891011E-01	+9.999383E-03
+4.892344E-01	+1.000000E-02
+4.891789E-01	+9.999491E-03
+4.892356E-01	+9.998494E-03
+4.893351E-01	+9.998729E-03
+4.895371E-01	+1.000060E-02
+4.896780E-01	+9.999604E-03
+4.897604E-01	+1.000107E-02
+4.896879E-01	+1.000034E-02
+4.897610E-01	+9.999902E-03
+4.899054E-01	+1.000002E-02
+4.901012E-01	+9.999589E-03
+4.899912E-01	+1.000037E-02
+4.899493E-01	+9.999057E-03
+4.900293E-01	+9.999448E-03
+4.902222E-01	+9.999887E-03
+4.901456E-01	+1.000053E-02
+4.901802E-01	+9.999079E-03
+4.902906E-01	+9.999203E-03
+4.904244E-01	+1.000056E-02
+4.904373E-01	+9.999014E-03
+4.904011E-01	+9.998933E-03
+4.905016E-01	+1.000039E-02
+4.905601E-01	+9.999345E-03
+4.906296E-01	+9.999562E-03

