[0, 0, 0]
Voltage_1 (1)	Current_1 (1)
-5.001011E-01	-8.427343E-03
-4.911844E-01	-8.940537E-03
-4.820518E-01	-8.730257E-03
-4.729125E-01	-8.154390E-03
-4.636858E-01	-8.632361E-03
-4.546206E-01	-8.780479E-03
-4.457453E-01	-8.372987E-03
-4.362873E-01	-8.039478E-03
-4.273347E-01	-8.174395E-03
-4.184811E-01	-8.662834E-03
-4.094079E-01	-8.097423E-03
-4.002644E-01	-8.316557E-03
-3.909759E-01	-7.817976E-03
-3.820085E-01	-8.324409E-03
-3.730102E-01	-8.456205E-03
-3.638041E-01	-7.981222E-03
-3.545284E-01	-7.752833E-03
-3.455133E-01	-7.928717E-03
-3.365338E-01	-8.313878E-03
-3.274004E-01	-7.696951E-03
-3.182861E-01	-7.526772E-03
-3.090898E-01	-7.923211E-03
-3.001281E-01	-8.059065E-03
-2.911484E-01	-8.114746E-03
-2.819872E-01	-7.656510E-03
-2.727385E-01	-7.413890E-03
-2.636197E-01	-7.570573E-03
-2.547810E-01	-7.969164E-03
-2.455909E-01	-7.353761E-03
-2.364480E-01	-7.200432E-03
-2.272161E-01	-7.527890E-03
-2.184571E-01	-7.760437E-03
-2.094069E-01	-7.528485E-03
-2.001959E-01	-7.309561E-03
-1.908774E-01	-7.031759E-03
-1.818099E-01	-7.125990E-03
-1.729885E-01	-7.608795E-03
-1.639627E-01	-7.080126E-03
-1.548150E-01	-6.882717E-03
-1.456448E-01	-7.078746E-03
-1.366597E-01	-7.418707E-03
-1.274488E-01	-7.263295E-03
-1.183518E-01	-6.661548E-03
-1.091859E-01	-6.988652E-03
-9.993771E-02	-6.704438E-03
-9.108562E-02	-7.181138E-03
-8.207957E-02	-6.602866E-03
-7.285921E-02	-6.411628E-03
-6.362958E-02	-6.802963E-03
-5.478891E-02	-6.800758E-03
-4.571460E-02	-6.497225E-03
-3.645466E-02	-6.258926E-03
-2.740637E-02	-6.737360E-03
-1.833206E-02	-6.652412E-03
-9.105693E-03	-6.015703E-03
-1.074724E-04	-5.930747E-03
+8.972213E-03	-5.914968E-03
+1.806102E-02	-6.356521E-03
+2.721001E-02	-5.920323E-03
+3.621560E-02	-5.653345E-03
+4.545078E-02	-5.748245E-03
+5.448449E-02	-5.977388E-03
+6.355820E-02	-5.746106E-03
+7.276250E-02	-5.213163E-03
+8.184668E-02	-5.492664E-03
+9.084619E-02	-5.514336E-03
+9.979600E-02	-5.412226E-03
+1.091409E-01	-4.900521E-03
+1.182871E-01	-4.684645E-03
+1.272011E-01	-4.744478E-03
+1.361811E-01	-4.868260E-03
+1.453063E-01	-4.644286E-03
+1.545458E-01	-4.119646E-03
+1.636351E-01	-4.160110E-03
+1.726924E-01	-4.097279E-03
+1.816565E-01	-3.981024E-03
+1.907641E-01	-3.457001E-03
+1.999037E-01	-3.396787E-03
+2.090645E-01	-3.112367E-03
+2.181539E-01	-3.234649E-03
+2.270935E-01	-3.047106E-03
+2.362792E-01	-2.606809E-03
+2.452792E-01	-2.284924E-03
+2.545050E-01	-2.130122E-03
+2.634698E-01	-2.099907E-03
+2.726954E-01	-1.619619E-03
+2.817644E-01	-1.298402E-03
+2.909737E-01	-1.104696E-03
+2.995144E-01	-9.366961E-04
+3.085617E-01	-5.629399E-04
+3.185134E-01	-1.436060E-04
+3.280532E-01	+1.049902E-04
+3.362667E-01	+4.412023E-04
+3.455571E-01	+8.135804E-04
+3.548503E-01	+1.049266E-03
+3.636843E-01	+1.291209E-03
+3.726313E-01	+1.676592E-03
+3.818028E-01	+2.217376E-03
+3.909418E-01	+2.532454E-03
+3.999695E-01	+2.997141E-03
+4.091516E-01	+3.263250E-03
+4.180210E-01	+3.727020E-03
+4.272557E-01	+4.206308E-03
+4.363651E-01	+4.677469E-03
+4.453967E-01	+5.012138E-03
+4.544339E-01	+5.473347E-03
+4.635544E-01	+6.012879E-03
+4.725856E-01	+6.528962E-03
+4.818228E-01	+6.995361E-03
+4.909225E-01	+7.427480E-03
+5.000320E-01	+7.941605E-03
+5.089594E-01	+8.467157E-03
+5.180719E-01	+9.053093E-03
+5.273212E-01	+9.562648E-03
+5.350991E-01	+1.000027E-02
+5.346722E-01	+9.999866E-03
+5.338984E-01	+9.999366E-03
+5.338381E-01	+9.998760E-03
+5.347499E-01	+9.998608E-03
+5.340599E-01	+9.999583E-03
+5.336812E-01	+9.999160E-03
+5.341902E-01	+9.999806E-03
+5.333138E-01	+9.998874E-03
+5.342214E-01	+9.999458E-03
+5.344057E-01	+9.999674E-03
+5.337122E-01	+9.999876E-03
+5.331308E-01	+9.998539E-03
+5.334715E-01	+9.998278E-03
+5.340099E-01	+9.999225E-03
+5.332544E-01	+9.999583E-03
