[0, 0, 0]
Voltage_1 (1)	Current_1 (1)
-5.001929E-01	-1.494531E-02
-4.911112E-01	-1.502884E-02
-4.819266E-01	-1.502428E-02
-4.728086E-01	-1.480449E-02
-4.638053E-01	-1.414701E-02
-4.547648E-01	-1.400552E-02
-4.456942E-01	-1.435290E-02
-4.365740E-01	-1.402773E-02
-4.274261E-01	-1.368112E-02
-4.183717E-01	-1.330506E-02
-4.091897E-01	-1.367086E-02
-4.001083E-01	-1.328201E-02
-3.909717E-01	-1.333413E-02
-3.820623E-01	-1.263586E-02
-3.728886E-01	-1.239007E-02
-3.638204E-01	-1.266442E-02
-3.547762E-01	-1.258085E-02
-3.455260E-01	-1.225239E-02
-3.365830E-01	-1.170882E-02
-3.274219E-01	-1.202094E-02
-3.182708E-01	-1.196205E-02
-3.092343E-01	-1.153269E-02
-3.001665E-01	-1.120996E-02
-2.910734E-01	-1.092236E-02
-2.819202E-01	-1.093205E-02
-2.728569E-01	-1.114850E-02
-2.638299E-01	-1.088488E-02
-2.547232E-01	-1.020520E-02
-2.456117E-01	-1.031194E-02
-2.365316E-01	-1.031556E-02
-2.274672E-01	-1.020981E-02
-2.183914E-01	-9.599692E-03
-2.092357E-01	-9.342671E-03
-2.001230E-01	-9.207052E-03
-1.910312E-01	-9.529355E-03
-1.819867E-01	-9.457500E-03
-1.730742E-01	-8.864938E-03
-1.637080E-01	-8.614662E-03
-1.546736E-01	-8.639949E-03
-1.458260E-01	-8.757498E-03
-1.366094E-01	-8.077274E-03
-1.274282E-01	-7.833211E-03
-1.183596E-01	-8.081054E-03
-1.093781E-01	-7.997690E-03
-1.002226E-01	-7.916432E-03
-9.112471E-02	-7.316267E-03
-8.192600E-02	-7.114753E-03
-7.281395E-02	-7.160146E-03
-6.387880E-02	-7.121627E-03
-5.456576E-02	-6.456335E-03
-4.551808E-02	-6.297339E-03
-3.655081E-02	-6.608600E-03
-2.745294E-02	-6.197411E-03
-1.844519E-02	-5.831426E-03
-9.106271E-03	-5.773135E-03
-1.378410E-04	-5.644040E-03
+9.034714E-03	-5.459485E-03
+1.790069E-02	-5.449470E-03
+2.715167E-02	-4.802265E-03
+3.624491E-02	-4.570758E-03
+4.533735E-02	-4.745354E-03
+5.435900E-02	-4.514173E-03
+6.357112E-02	-4.176597E-03
+7.283438E-02	-3.752762E-03
+8.183952E-02	-3.926677E-03
+9.072188E-02	-3.716677E-03
+9.983085E-02	-3.411352E-03
+1.090184E-01	-2.806946E-03
+1.182798E-01	-2.748570E-03
+1.272717E-01	-2.287238E-03
+1.363357E-01	-2.319453E-03
+1.453936E-01	-2.093429E-03
+1.543811E-01	-1.788136E-03
+1.635641E-01	-1.211627E-03
+1.726908E-01	-1.106423E-03
+1.812103E-01	-8.918004E-04
+1.909811E-01	-3.227604E-04
+2.030773E-01	-1.049447E-04
+2.040369E-01	+1.050012E-04
+2.176457E-01	+4.950952E-04
+2.275649E-01	+9.694419E-04
+2.361643E-01	+1.174274E-03
+2.451918E-01	+1.448160E-03
+2.544639E-01	+2.048075E-03
+2.634776E-01	+2.363147E-03
+2.726009E-01	+2.839257E-03
+2.817793E-01	+3.069415E-03
+2.907425E-01	+3.468885E-03
+2.998970E-01	+3.871647E-03
+3.089611E-01	+4.406614E-03
+3.181086E-01	+4.958346E-03
+3.273138E-01	+5.391050E-03
+3.362656E-01	+5.717373E-03
+3.453781E-01	+6.286585E-03
+3.544020E-01	+6.833142E-03
+3.637505E-01	+7.365701E-03
+3.727374E-01	+7.761389E-03
+3.818294E-01	+8.301350E-03
+3.907945E-01	+8.960678E-03
+3.999600E-01	+9.546725E-03
+4.091181E-01	+1.012315E-02
+4.179775E-01	+1.065122E-02
+4.272382E-01	+1.118769E-02
+4.361743E-01	+1.181225E-02
+4.454563E-01	+1.250843E-02
+4.545559E-01	+1.313358E-02
+4.637029E-01	+1.376760E-02
+4.725927E-01	+1.436634E-02
+4.815813E-01	+1.507602E-02
+4.908015E-01	+1.577199E-02
+4.999183E-01	+1.645272E-02
+5.088788E-01	+1.710783E-02
+5.180923E-01	+1.780444E-02
+5.271603E-01	+1.851812E-02
+5.363370E-01	+1.928079E-02
+5.452398E-01	+1.999681E-02
+5.452430E-01	+1.999320E-02
+5.444852E-01	+2.000039E-02
+5.436030E-01	+1.999464E-02
+5.432965E-01	+1.999830E-02
+5.431624E-01	+1.998469E-02
+5.427970E-01	+1.999942E-02
+5.427144E-01	+1.999697E-02
+5.417715E-01	+1.999282E-02
+5.415334E-01	+1.999564E-02
+5.416907E-01	+1.999650E-02
+5.413379E-01	+1.999410E-02
+5.406648E-01	+1.999991E-02
+5.405481E-01	+1.999699E-02
+5.402330E-01	+2.000036E-02
+5.403923E-01	+1.999816E-02
+5.403526E-01	+1.999355E-02
+5.399519E-01	+1.999732E-02
+5.395803E-01	+1.999792E-02
+5.391679E-01	+1.999604E-02
+5.392784E-01	+1.999752E-02
+5.393509E-01	+1.999975E-02
+5.386533E-01	+1.999298E-02
+5.386576E-01	+2.000236E-02
+5.381001E-01	+1.999457E-02
+5.384217E-01	+2.000129E-02
+5.382757E-01	+1.999668E-02
+5.381557E-01	+1.999825E-02
+5.379485E-01	+1.999562E-02
+5.376837E-01	+1.999652E-02
+5.375325E-01	+1.999447E-02
+5.378897E-01	+1.999673E-02
+5.373701E-01	+2.000224E-02
+5.376605E-01	+1.999773E-02
+5.368910E-01	+1.999550E-02
+5.369794E-01	+1.999490E-02
+5.369993E-01	+2.000799E-02
+5.371590E-01	+2.000267E-02
+5.364850E-01	+1.999991E-02
+5.363155E-01	+1.999168E-02

