[0, 0, 0]
Voltage_1 (1)	Current_1 (1)
-5.001678E-01	-6.244818E-03
-4.911516E-01	-6.417103E-03
-4.819174E-01	-6.635369E-03
-4.729921E-01	-6.676278E-03
-4.637472E-01	-6.113069E-03
-4.547081E-01	-6.103782E-03
-4.457124E-01	-6.674129E-03
-4.367029E-01	-6.454427E-03
-4.274412E-01	-6.215659E-03
-4.182735E-01	-6.100283E-03
-4.093100E-01	-6.668951E-03
-4.001743E-01	-6.466707E-03
-3.910986E-01	-6.500037E-03
-3.820113E-01	-5.937111E-03
-3.729855E-01	-5.966123E-03
-3.638910E-01	-6.522239E-03
-3.548611E-01	-6.253592E-03
-3.457065E-01	-6.078566E-03
-3.364238E-01	-6.005919E-03
-3.275938E-01	-6.491103E-03
-3.184931E-01	-6.511862E-03
-3.092799E-01	-5.949556E-03
-3.001330E-01	-5.829611E-03
-2.909677E-01	-5.801024E-03
-2.819572E-01	-6.377309E-03
-2.729806E-01	-6.194444E-03
-2.638493E-01	-5.933221E-03
-2.545347E-01	-5.862032E-03
-2.456167E-01	-6.403080E-03
-2.365406E-01	-6.337552E-03
-2.275675E-01	-5.767976E-03
-2.182504E-01	-5.945526E-03
-2.092451E-01	-6.143507E-03
-2.000775E-01	-6.263204E-03
-1.911764E-01	-6.048908E-03
-1.820345E-01	-5.901238E-03
-1.727127E-01	-5.727947E-03
-1.638108E-01	-6.255113E-03
-1.548687E-01	-6.269066E-03
-1.456687E-01	-5.720566E-03
-1.364813E-01	-5.788675E-03
-1.273142E-01	-5.997816E-03
-1.183181E-01	-6.128506E-03
-1.092131E-01	-5.565012E-03
-1.003305E-01	-5.701939E-03
-9.090587E-02	-5.590343E-03
-8.205921E-02	-6.158134E-03
-7.305760E-02	-6.052008E-03
-6.383286E-02	-5.468342E-03
-5.456220E-02	-5.828270E-03
-4.561714E-02	-6.013333E-03
-3.668610E-02	-5.756596E-03
-2.741413E-02	-5.426570E-03
-1.827789E-02	-5.630681E-03
-9.425160E-03	-5.983423E-03
-3.734145E-04	-5.928074E-03
+8.928320E-03	-5.628705E-03
+1.829196E-02	-5.476268E-03
+2.694228E-02	-5.949008E-03
+3.624752E-02	-5.895660E-03
+4.544537E-02	-5.315997E-03
+5.455614E-02	-5.602126E-03
+6.353236E-02	-5.752597E-03
+7.258012E-02	-5.675811E-03
+8.173048E-02	-5.217100E-03
+9.095203E-02	-5.294124E-03
+1.000161E-01	-5.432606E-03
+1.090297E-01	-5.779064E-03
+1.180959E-01	-5.656605E-03
+1.272497E-01	-5.118939E-03
+1.363800E-01	-5.291001E-03
