[0, 0, 0]
Voltage_1 (1)	Current_1 (1)
-3.493020E-01	-1.000074E-02
-3.708049E-01	-1.000069E-02
-3.835040E-01	-1.000108E-02
-3.891765E-01	-1.000031E-02
-3.466634E-01	-1.000104E-02
-3.418534E-01	-1.000013E-02
-3.806609E-01	-1.000079E-02
-3.909048E-01	-1.000072E-02
-3.781847E-01	-1.000130E-02
-3.418331E-01	-1.000069E-02
-3.807322E-01	-1.000059E-02
-3.908524E-01	-9.999881E-03
-3.899170E-01	-1.000059E-02
-3.819718E-01	-9.791014E-03
-3.428071E-01	-1.000117E-02
-3.519613E-01	-9.999975E-03
-3.548269E-01	-9.591522E-03
-3.455712E-01	-9.561114E-03
-3.366378E-01	-9.731997E-03
-3.276093E-01	-9.640589E-03
-3.183373E-01	-9.030232E-03
-3.091394E-01	-8.979222E-03
-3.001145E-01	-9.010661E-03
-2.911049E-01	-9.368361E-03
-2.821636E-01	-9.242131E-03
-2.727667E-01	-8.572737E-03
-2.636490E-01	-8.740018E-03
-2.545940E-01	-8.878194E-03
-2.457526E-01	-8.624281E-03
-2.364545E-01	-8.116856E-03
-2.272000E-01	-8.129306E-03
-2.184194E-01	-8.548713E-03
-2.092498E-01	-8.067986E-03
-2.002297E-01	-8.134860E-03
-1.910666E-01	-7.571393E-03
-1.819509E-01	-7.898227E-03
-1.730245E-01	-7.969089E-03
-1.640155E-01	-7.594543E-03
-1.546686E-01	-7.184188E-03
-1.455880E-01	-7.221073E-03
-1.365658E-01	-7.603997E-03
-1.274586E-01	-7.078140E-03
-1.183002E-01	-6.859620E-03
-1.091753E-01	-6.912888E-03
-1.001682E-01	-6.996204E-03
-9.117626E-02	-7.088454E-03
-8.207703E-02	-6.627188E-03
-7.274555E-02	-6.348763E-03
-6.366751E-02	-6.502588E-03
-5.473992E-02	-6.620009E-03
-4.560658E-02	-5.957070E-03
-3.643767E-02	-5.849225E-03
-2.738534E-02	-6.345380E-03
-1.834779E-02	-5.910747E-03
-9.181850E-03	-5.527781E-03
+5.214292E-05	-5.398648E-03
+8.919955E-03	-5.748945E-03
+1.793271E-02	-5.801149E-03
+2.701098E-02	-5.328888E-03
+3.630766E-02	-5.020451E-03
+4.533273E-02	-5.077313E-03
+5.433576E-02	-5.393449E-03
+6.348372E-02	-4.815929E-03
+7.272234E-02	-4.584582E-03
+8.180793E-02	-4.831652E-03
+9.074307E-02	-4.873098E-03
+9.987869E-02	-4.876298E-03
+1.090721E-01	-4.332223E-03
+1.183109E-01	-4.100448E-03
+1.272626E-01	-4.112436E-03
+1.362733E-01	-4.422943E-03
+1.452177E-01	-3.910699E-03
+1.545301E-01	-3.610313E-03
+1.637000E-01	-3.651186E-03
+1.726097E-01	-3.952486E-03
+1.816022E-01	-3.735295E-03
+1.908484E-01	-3.103576E-03
+2.000147E-01	-2.940153E-03
+2.091349E-01	-2.883765E-03
+2.181463E-01	-3.222867E-03
+2.270207E-01	-2.957629E-03
+2.361314E-01	-2.688195E-03
+2.454785E-01	-2.370364E-03
+2.543044E-01	-2.669862E-03
+2.634283E-01	-2.618907E-03
+2.726513E-01	-2.113068E-03
+2.818825E-01	-1.836664E-03
+2.909049E-01	-1.806659E-03
+3.001285E-01	-1.760265E-03
+3.087978E-01	-1.685564E-03
+3.180118E-01	-1.328409E-03
+3.272490E-01	-1.119940E-03
+3.361876E-01	-1.022691E-03
+3.458201E-01	-4.333680E-04
+3.545717E-01	-4.692908E-04
+3.637461E-01	-2.904945E-04
+3.737665E-01	+2.094126E-05
+3.823180E-01	+6.060491E-04
+3.909334E-01	+6.063177E-04
+4.002388E-01	+1.049907E-03
+4.090047E-01	+1.227824E-03
+4.181769E-01	+1.740615E-03
+4.270937E-01	+2.246827E-03
+4.362405E-01	+2.592384E-03
+4.454540E-01	+2.816420E-03
+4.544951E-01	+3.305970E-03
+4.635565E-01	+3.966047E-03
+4.726959E-01	+4.393811E-03
+4.818240E-01	+4.848182E-03
+4.907278E-01	+5.344369E-03
+4.998212E-01	+5.953236E-03
+5.090185E-01	+6.532937E-03
+5.180738E-01	+7.197090E-03
+5.273162E-01	+7.721384E-03
+5.362310E-01	+8.340732E-03
+5.451661E-01	+9.060830E-03
+5.544980E-01	+9.806680E-03
+5.577529E-01	+9.999888E-03
+5.583286E-01	+1.000047E-02
+5.573825E-01	+9.999879E-03
+5.565064E-01	+9.997874E-03
+5.567427E-01	+9.999467E-03
+5.582455E-01	+9.999174E-03
+5.578185E-01	+9.999332E-03
+5.566300E-01	+9.997675E-03
+5.573416E-01	+9.999780E-03
+5.584412E-01	+9.999716E-03
+5.581139E-01	+1.000101E-02
+5.575212E-01	+9.999527E-03
+5.567408E-01	+9.999705E-03
+5.572206E-01	+9.998521E-03
+5.580949E-01	+9.999813E-03
+5.580950E-01	+9.998862E-03
+5.582099E-01	+9.999732E-03
+5.572594E-01	+1.000084E-02
+5.578759E-01	+1.000022E-02
+5.578191E-01	+9.998531E-03
+5.583391E-01	+9.999808E-03
+5.582389E-01	+9.999321E-03
+5.571877E-01	+1.000089E-02
+5.566611E-01	+9.998925E-03
+5.581177E-01	+9.999851E-03
+5.582066E-01	+1.000017E-02
+5.580840E-01	+1.000006E-02
+5.569750E-01	+9.999141E-03
+5.567932E-01	+9.998417E-03
+5.582545E-01	+9.999737E-03
+5.574472E-01	+9.998109E-03
+5.579296E-01	+9.999575E-03
+5.566449E-01	+9.999044E-03
