[0, 0, 0]
Voltage_1 (1)	Current_1 (1)
-5.001692E-01	-1.246333E-02
-4.911616E-01	-1.229348E-02
-4.819883E-01	-1.238387E-02
-4.729017E-01	-1.253193E-02
-4.637431E-01	-1.181833E-02
-4.546365E-01	-1.161692E-02
-4.455282E-01	-1.196345E-02
-4.365561E-01	-1.197307E-02
-4.273728E-01	-1.164800E-02
-4.183598E-01	-1.112682E-02
-4.092231E-01	-1.153849E-02
-4.001689E-01	-1.113418E-02
-3.910348E-01	-1.144512E-02
-3.820412E-01	-1.083817E-02
-3.729358E-01	-1.055552E-02
-3.638520E-01	-1.071114E-02
-3.547471E-01	-1.095135E-02
-3.456564E-01	-1.070170E-02
-3.364218E-01	-1.004363E-02
-3.272955E-01	-1.027355E-02
-3.182594E-01	-1.034355E-02
-3.092677E-01	-1.023387E-02
-3.002729E-01	-1.007561E-02
-2.910841E-01	-9.810179E-03
-2.819298E-01	-9.356052E-03
-2.728564E-01	-9.818690E-03
-2.638808E-01	-9.771574E-03
-2.547795E-01	-9.118051E-03
-2.454924E-01	-9.015625E-03
-2.364300E-01	-9.104194E-03
-2.275545E-01	-9.275364E-03
-2.183432E-01	-8.579651E-03
-2.091636E-01	-8.380002E-03
-1.999957E-01	-8.311384E-03
-1.910537E-01	-8.783787E-03
-1.820334E-01	-8.713442E-03
-1.727564E-01	-8.031743E-03
-1.637405E-01	-8.004426E-03
-1.545502E-01	-8.052452E-03
-1.457607E-01	-8.233232E-03
-1.366527E-01	-7.551075E-03
-1.273781E-01	-7.353203E-03
-1.182504E-01	-7.630002E-03
-1.094241E-01	-7.734076E-03
-1.001620E-01	-7.662987E-03
-9.118985E-02	-7.113581E-03
-8.187651E-02	-6.872411E-03
-7.279141E-02	-7.041258E-03
-6.385752E-02	-7.123088E-03
-5.464678E-02	-6.420640E-03
-4.551350E-02	-6.308597E-03
-3.634388E-02	-6.778637E-03
-2.744388E-02	-6.422615E-03
-1.833227E-02	-6.075370E-03
-9.006738E-03	-6.078003E-03
-1.074648E-04	-6.008862E-03
+9.011087E-03	-6.123540E-03
+1.808546E-02	-5.979503E-03
+2.721745E-02	-5.345902E-03
+3.635846E-02	-5.288101E-03
+4.546654E-02	-5.732927E-03
+5.438103E-02	-5.320970E-03
+6.358366E-02	-5.027198E-03
+7.283458E-02	-4.881803E-03
+8.178074E-02	-5.270082E-03
+9.076749E-02	-5.091953E-03
+9.983011E-02	-4.831341E-03
+1.090465E-01	-4.238584E-03
+1.182977E-01	-4.142900E-03
+1.271441E-01	-4.522936E-03
+1.363216E-01	-4.303019E-03
+1.453474E-01	-3.717964E-03
+1.543330E-01	-3.880124E-03
+1.636204E-01	-3.446973E-03
+1.726519E-01	-3.772139E-03
+1.816186E-01	-3.706304E-03
+1.907983E-01	-3.254661E-03
+1.998014E-01	-2.960412E-03
+2.089678E-01	-2.698751E-03
+2.180066E-01	-2.777789E-03
+2.271249E-01	-2.857356E-03
+2.361812E-01	-2.594968E-03
