[0, 0, 0]
Voltage_1 (1)	Current_1 (1)
-5.001397E-01	-4.628685E-03
-4.910400E-01	-4.564617E-03
-4.819229E-01	-4.487308E-03
-4.727537E-01	-4.401267E-03
-4.638585E-01	-4.317070E-03
-4.547304E-01	-4.232604E-03
-4.455858E-01	-4.143075E-03
-4.365629E-01	-4.054004E-03
-4.274058E-01	-3.969444E-03
-4.183895E-01	-3.879610E-03
-4.092033E-01	-3.788639E-03
-4.002052E-01	-3.703735E-03
-3.911327E-01	-3.616108E-03
-3.820151E-01	-3.526580E-03
-3.729038E-01	-3.436166E-03
-3.637304E-01	-3.350525E-03
-3.546791E-01	-3.262823E-03
-3.455358E-01	-3.169883E-03
-3.364702E-01	-3.083133E-03
-3.273829E-01	-2.997142E-03
-3.182574E-01	-2.906225E-03
-3.090786E-01	-2.818152E-03
-3.001177E-01	-2.730787E-03
-2.910699E-01	-2.645811E-03
-2.820278E-01	-2.556577E-03
-2.728629E-01	-2.469143E-03
-2.637581E-01	-2.385639E-03
-2.545546E-01	-2.297893E-03
-2.455597E-01	-2.209631E-03
-2.364601E-01	-2.127360E-03
-2.273561E-01	-2.041711E-03
-2.183316E-01	-1.954543E-03
-2.092551E-01	-1.870526E-03
-2.001546E-01	-1.786170E-03
-1.910157E-01	-1.702746E-03
-1.819411E-01	-1.614345E-03
-1.728542E-01	-1.531367E-03
-1.638175E-01	-1.450626E-03
-1.545750E-01	-1.363351E-03
-1.456652E-01	-1.279757E-03
-1.365074E-01	-1.200264E-03
-1.274039E-01	-1.115907E-03
-1.183146E-01	-1.033089E-03
-1.092404E-01	-9.524561E-04
-1.000892E-01	-8.703994E-04
-9.103674E-02	-7.912271E-04
-8.198242E-02	-7.122618E-04
-7.285523E-02	-6.285811E-04
-6.365765E-02	-5.503060E-04
-5.465179E-02	-4.730814E-04
-4.563401E-02	-3.908841E-04
-3.648026E-02	-3.128824E-04
-2.727878E-02	-2.364082E-04
-1.825649E-02	-1.579068E-04
-9.128491E-03	-8.094175E-05
+1.433544E-04	-5.694183E-06
+9.087297E-03	+7.251606E-05
+1.814526E-02	+1.443551E-04
+2.721050E-02	+2.234008E-04
+3.636129E-02	+2.954870E-04
+4.547792E-02	+3.688578E-04
+5.450902E-02	+4.471964E-04
+6.372309E-02	+5.198322E-04
+7.281396E-02	+5.920804E-04
+8.177286E-02	+6.659536E-04
+9.102314E-02	+7.400381E-04
+9.987600E-02	+8.117682E-04
+1.091368E-01	+8.805980E-04
+1.181856E-01	+9.540032E-04
+1.272162E-01	+1.027741E-03
+1.363236E-01	+1.097211E-03
+1.453650E-01	+1.169893E-03
+1.544868E-01	+1.241257E-03
+1.635096E-01	+1.312056E-03
+1.726700E-01	+1.385310E-03
+1.818270E-01	+1.458681E-03
+1.908454E-01	+1.526505E-03
+2.000044E-01	+1.600218E-03
+2.089819E-01	+1.675976E-03
+2.181739E-01	+1.747780E-03
+2.271735E-01	+1.821526E-03
+2.362564E-01	+1.895481E-03
+2.453172E-01	+1.973965E-03
+2.544958E-01	+2.049410E-03
+2.635686E-01	+2.126293E-03
+2.726215E-01	+2.208281E-03
+2.817610E-01	+2.286755E-03
+2.909368E-01	+2.366792E-03
+2.999734E-01	+2.448502E-03
+3.089972E-01	+2.534116E-03
+3.180612E-01	+2.618992E-03
+3.271069E-01	+2.701042E-03
+3.363303E-01	+2.791358E-03
+3.453694E-01	+2.883510E-03
+3.545114E-01	+2.971668E-03
+3.637211E-01	+3.064992E-03
+3.726138E-01	+3.161342E-03
+3.817118E-01	+3.257235E-03
+3.910335E-01	+3.356793E-03
+3.999847E-01	+3.456729E-03
+4.090579E-01	+3.563056E-03
+4.181320E-01	+3.668017E-03
+4.272735E-01	+3.774084E-03
+4.363417E-01	+3.886825E-03
+4.454126E-01	+3.998222E-03
+4.545191E-01	+4.112106E-03
+4.634799E-01	+4.228262E-03
+4.726810E-01	+4.349099E-03
+4.817696E-01	+4.471435E-03
+4.909417E-01	+4.592857E-03
+5.000578E-01	+4.719991E-03
+5.090991E-01	+4.851686E-03
+5.181559E-01	+4.981424E-03
+5.273346E-01	+5.115794E-03
+5.364075E-01	+5.253026E-03
+5.455079E-01	+5.396950E-03
+5.545800E-01	+5.537707E-03
+5.636276E-01	+5.682282E-03
+5.727785E-01	+5.835109E-03
+5.817279E-01	+5.983854E-03
+5.908874E-01	+6.136782E-03
+6.000306E-01	+6.292929E-03
+6.092026E-01	+6.454261E-03
+6.180090E-01	+6.617350E-03
+6.273235E-01	+6.784785E-03
+6.363059E-01	+6.949932E-03
+6.455159E-01	+7.123083E-03
+6.546539E-01	+7.299387E-03
+6.636822E-01	+7.475181E-03
+6.727281E-01	+7.653918E-03
+6.818475E-01	+7.838708E-03
+6.910073E-01	+8.028015E-03
+7.000328E-01	+8.216446E-03
+7.089216E-01	+8.406035E-03
+7.182061E-01	+8.611344E-03
+7.274522E-01	+8.808225E-03
+7.363638E-01	+9.008322E-03
+7.453858E-01	+9.216533E-03
+7.544021E-01	+9.425315E-03
+7.636811E-01	+9.638431E-03
+7.727121E-01	+9.851863E-03
+7.786375E-01	+9.999893E-03
+7.782605E-01	+9.999452E-03
+7.778891E-01	+9.998824E-03
+7.776122E-01	+9.998891E-03
+7.773278E-01	+9.999907E-03
+7.771408E-01	+9.999658E-03
+7.769568E-01	+9.999994E-03
+7.768170E-01	+1.000009E-02
+7.764674E-01	+1.000002E-02
+7.762617E-01	+9.998965E-03
+7.763413E-01	+1.000072E-02
+7.760730E-01	+9.998824E-03
+7.758834E-01	+9.999540E-03
+7.756898E-01	+9.998853E-03

