[0, 0, 0]
Voltage_1 (1)	Current_1 (1)
-5.001724E-01	-2.584597E-04
-4.910919E-01	-2.485400E-04
-4.820468E-01	-2.443636E-04
-4.730062E-01	-2.412205E-04
-4.638100E-01	-2.326384E-04
-4.547674E-01	-2.277753E-04
-4.456433E-01	-2.247724E-04
-4.364914E-01	-2.204336E-04
-4.274643E-01	-2.140855E-04
-4.183330E-01	-2.098019E-04
-4.093083E-01	-2.081112E-04
-4.003220E-01	-2.031925E-04
-3.911398E-01	-1.963708E-04
-3.820363E-01	-1.937150E-04
-3.729590E-01	-1.897570E-04
-3.637985E-01	-1.833499E-04
-3.547859E-01	-1.781880E-04
-3.457138E-01	-1.751207E-04
-3.365962E-01	-1.709305E-04
-3.273305E-01	-1.621661E-04
-3.183808E-01	-1.600328E-04
-3.092086E-01	-1.569647E-04
-3.000085E-01	-1.485046E-04
-2.909840E-01	-1.435372E-04
-2.819151E-01	-1.398743E-04
-2.728693E-01	-1.367936E-04
-2.639124E-01	-1.294598E-04
-2.546364E-01	-1.248964E-04
-2.455646E-01	-1.245126E-04
-2.364311E-01	-1.178168E-04
-2.276018E-01	-1.114462E-04
-2.184348E-01	-1.108674E-04
-2.092269E-01	-1.062433E-04
-2.001805E-01	-1.010346E-04
-1.907648E-01	-9.331235E-05
-1.821941E-01	-9.112506E-05
-1.729610E-01	-8.911904E-05
-1.638161E-01	-7.966004E-05
-1.547415E-01	-7.551470E-05
-1.456200E-01	-7.384353E-05
-1.368046E-01	-6.644122E-05
-1.275437E-01	-6.133342E-05
-1.184805E-01	-5.870647E-05
-1.095120E-01	-5.469940E-05
-1.003560E-01	-4.817950E-05
-9.109316E-02	-4.285439E-05
-8.233963E-02	-4.312868E-05
-7.286473E-02	-3.513537E-05
-6.371915E-02	-3.022809E-05
-5.462090E-02	-2.879267E-05
-4.555144E-02	-2.239790E-05
-3.627303E-02	-1.565356E-05
-2.747590E-02	-1.691614E-05
-1.840283E-02	-8.940662E-06
-8.704253E-03	-6.189125E-06
-4.190427E-04	-2.606782E-06
+8.449399E-03	+3.743181E-06
