[0, 0, 0]
Voltage_1 (1)	Current_1 (1)
-5.004520E-01	-9.039561E-03
-4.911107E-01	-8.257940E-03
-4.823456E-01	-8.758553E-03
-4.726977E-01	-8.169083E-03
-4.637784E-01	-8.976391E-03
-4.548653E-01	-9.052793E-03
-4.458815E-01	-8.564523E-03
-4.363320E-01	-8.109865E-03
-4.272081E-01	-8.211341E-03
-4.185219E-01	-8.971869E-03
-4.095435E-01	-8.401266E-03
-4.005020E-01	-8.812677E-03
-3.909905E-01	-8.005300E-03
-3.817171E-01	-8.426155E-03
-3.728668E-01	-8.743282E-03
-3.641799E-01	-8.557069E-03
-3.546069E-01	-7.877288E-03
-3.453257E-01	-7.987551E-03
-3.365886E-01	-8.764497E-03
-3.277585E-01	-8.255698E-03
-3.183108E-01	-7.938999E-03
-3.089871E-01	-8.132471E-03
-2.999366E-01	-8.369405E-03
-2.912095E-01	-8.626050E-03
-2.822387E-01	-8.219491E-03
-2.726132E-01	-7.724787E-03
-2.635258E-01	-7.945787E-03
-2.547460E-01	-8.596075E-03
-2.456415E-01	-7.906880E-03
-2.364840E-01	-7.671356E-03
-2.271938E-01	-8.069869E-03
-2.186658E-01	-8.469658E-03
-2.095373E-01	-8.238355E-03
-2.003834E-01	-7.960486E-03
-1.907945E-01	-7.531310E-03
-1.817467E-01	-7.701802E-03
-1.729754E-01	-8.363688E-03
-1.640305E-01	-7.699484E-03
-1.546413E-01	-7.453616E-03
-1.453135E-01	-7.812512E-03
-1.367818E-01	-8.217385E-03
-1.277642E-01	-7.982818E-03
-1.183235E-01	-7.280773E-03
-1.091973E-01	-7.899017E-03
-9.983201E-02	-7.525450E-03
-9.130929E-02	-8.065501E-03
-8.196351E-02	-7.303393E-03
-7.270625E-02	-7.123490E-03
-6.368352E-02	-7.807596E-03
-5.493993E-02	-7.633454E-03
-4.576155E-02	-7.319140E-03
-3.626746E-02	-7.178701E-03
-2.746798E-02	-7.804289E-03
-1.871845E-02	-7.667980E-03
-9.120787E-03	-6.883720E-03
-4.666932E-05	-6.836190E-03
+9.186646E-03	-6.837606E-03
+1.801706E-02	-7.501781E-03
+2.702329E-02	-7.148852E-03
+3.615611E-02	-6.874046E-03
+4.567035E-02	-6.807265E-03
+5.442435E-02	-7.332730E-03
+6.341723E-02	-7.228171E-03
+7.264070E-02	-6.525112E-03
+8.194862E-02	-6.738657E-03
+9.094606E-02	-6.940064E-03
+9.974460E-02	-6.960613E-03
+1.088226E-01	-6.523381E-03
+1.179596E-01	-6.305366E-03
+1.274009E-01	-6.173721E-03
+1.362440E-01	-6.622349E-03
+1.453467E-01	-6.554001E-03
