[0, 0, 0]
Voltage_1 (1)	Current_1 (1)
-5.004698E-01	-9.993708E-03
-4.908581E-01	-9.652736E-03
-3.628855E-01	-1.000149E-02
-3.990965E-01	-9.999186E-03
-4.637481E-01	-9.537327E-03
-4.545125E-01	-9.519627E-03
-3.368030E-01	-9.999865E-03
-4.368397E-01	-9.913882E-03
-4.275122E-01	-9.458127E-03
-3.797565E-01	-9.851536E-03
-4.104400E-01	-1.000002E-02
-3.404236E-01	-9.999670E-03
-3.912669E-01	-9.676148E-03
-3.817797E-01	-9.362958E-03
-3.470442E-01	-1.000012E-02
-3.484398E-01	-9.842554E-03
-3.549865E-01	-9.902486E-03
-3.454894E-01	-9.075457E-03
-3.363222E-01	-9.099894E-03
-3.275314E-01	-9.873486E-03
-3.185728E-01	-9.529565E-03
-3.091900E-01	-9.133374E-03
-2.999925E-01	-8.923113E-03
-2.909805E-01	-9.385916E-03
-2.819701E-01	-9.627478E-03
-2.730865E-01	-9.311852E-03
-2.635925E-01	-8.737450E-03
-2.545045E-01	-8.938112E-03
-2.458154E-01	-9.485087E-03
-2.366228E-01	-8.847970E-03
-2.273843E-01	-8.563234E-03
-2.182584E-01	-8.956037E-03
-2.095201E-01	-9.178157E-03
-2.003216E-01	-9.174280E-03
-1.912855E-01	-8.667153E-03
-1.818347E-01	-8.360283E-03
-1.726778E-01	-8.574158E-03
-1.639833E-01	-8.887881E-03
-1.548583E-01	-8.222488E-03
-1.455770E-01	-8.047540E-03
-1.365470E-01	-8.480879E-03
-1.276783E-01	-8.542035E-03
-1.184703E-01	-8.258475E-03
-1.091006E-01	-7.808386E-03
-1.000523E-01	-7.859979E-03
-9.089720E-02	-7.979730E-03
-8.223721E-02	-8.201357E-03
-7.284720E-02	-7.567585E-03
-6.353643E-02	-7.457841E-03
-5.472213E-02	-7.925957E-03
-4.586497E-02	-7.658935E-03
-3.659728E-02	-7.354377E-03
-2.732003E-02	-7.328747E-03
-1.837027E-02	-7.625510E-03
-9.363655E-03	-7.403892E-03
-2.138329E-04	-7.268788E-03
+9.110262E-03	-6.804331E-03
+1.815915E-02	-6.854231E-03
+2.701423E-02	-7.148621E-03
+3.613266E-02	-6.661192E-03
+4.531237E-02	-6.440403E-03
+5.448287E-02	-6.616259E-03
+6.346511E-02	-6.694290E-03
+7.242683E-02	-6.436109E-03
+8.191724E-02	-6.022999E-03
+9.087116E-02	-6.304446E-03
+1.000275E-01	-5.994895E-03
+1.090024E-01	-6.160089E-03
+1.180890E-01	-5.764695E-03
+1.271767E-01	-5.538299E-03
+1.362446E-01	-5.497816E-03
+1.453597E-01	-5.666381E-03
+1.544523E-01	-5.512156E-03
+1.634794E-01	-5.048273E-03
+1.726723E-01	-4.992873E-03
+1.817608E-01	-4.977978E-03
+1.907116E-01	-4.961086E-03
+1.998736E-01	-4.738199E-03
+2.089311E-01	-4.474869E-03
+2.182301E-01	-4.204120E-03
+2.271558E-01	-4.354449E-03
+2.361683E-01	-4.230362E-03
+2.451600E-01	-3.886919E-03
+2.544548E-01	-3.577634E-03
+2.635630E-01	-3.467028E-03
+2.727767E-01	-3.536643E-03
+2.816233E-01	-3.191073E-03
+2.908397E-01	-2.921429E-03
+2.999109E-01	-2.669225E-03
+3.090465E-01	-2.594541E-03
+3.181524E-01	-2.437178E-03
+3.271406E-01	-2.217735E-03
+3.363903E-01	-1.736951E-03
+3.453512E-01	-1.443197E-03
+3.544556E-01	-1.330916E-03
+3.635768E-01	-1.000514E-03
+3.729596E-01	-3.798178E-04
+3.822147E-01	+2.254245E-05
+3.905361E-01	+4.843089E-04
+3.999535E-01	+1.257947E-03
+4.091969E-01	+2.216734E-03
+4.179696E-01	+3.249395E-03
+4.270835E-01	+5.144127E-03
+4.363371E-01	+7.299870E-03
+4.454146E-01	+9.981136E-03
+4.465650E-01	+9.999652E-03
+4.461451E-01	+9.999380E-03
+4.462189E-01	+9.999992E-03
+4.475110E-01	+9.998905E-03
+4.474852E-01	+9.997907E-03
+4.474370E-01	+9.999874E-03
+4.464567E-01	+1.000022E-02
+4.464788E-01	+9.999365E-03
+4.478675E-01	+1.000019E-02
+4.478470E-01	+9.999467E-03
+4.467866E-01	+9.999998E-03
+4.470958E-01	+1.000065E-02
+4.470951E-01	+1.000014E-02
+4.481769E-01	+9.999819E-03
+4.484299E-01	+9.999891E-03
+4.472725E-01	+9.999629E-03
+4.470658E-01	+1.000071E-02
+4.469336E-01	+9.999057E-03
+4.480871E-01	+9.999267E-03
+4.480951E-01	+9.999028E-03
+4.468299E-01	+9.998471E-03
+4.475112E-01	+1.000040E-02
+4.469914E-01	+9.999934E-03
+4.483288E-01	+9.999477E-03
+4.484245E-01	+9.999923E-03
