[0, 0, 0]
Voltage_1 (1)	Current_1 (1)
-5.001771E-01	-6.146078E-03
-4.911230E-01	-5.983223E-03
-4.820550E-01	-5.814099E-03
-4.727621E-01	-5.778986E-03
-4.638315E-01	-5.974393E-03
-4.546924E-01	-5.877619E-03
-4.456083E-01	-5.551212E-03
-4.364369E-01	-5.665123E-03
-4.273803E-01	-5.720047E-03
-4.184434E-01	-5.615902E-03
-4.092404E-01	-5.343058E-03
-4.001254E-01	-5.353783E-03
-3.910770E-01	-5.333652E-03
-3.820593E-01	-5.510682E-03
-3.730349E-01	-5.430800E-03
-3.637694E-01	-5.117349E-03
-3.546239E-01	-5.191058E-03
-3.454925E-01	-5.224960E-03
-3.365086E-01	-5.182327E-03
-3.272514E-01	-4.894996E-03
-3.182671E-01	-4.851224E-03
-3.091645E-01	-5.063144E-03
-3.000503E-01	-5.029772E-03
-2.911220E-01	-4.967214E-03
-2.819980E-01	-4.676210E-03
-2.727706E-01	-4.677271E-03
-2.636606E-01	-4.721023E-03
-2.547416E-01	-4.694929E-03
-2.456053E-01	-4.412564E-03
-2.364359E-01	-4.363382E-03
-2.274265E-01	-4.536987E-03
-2.184361E-01	-4.429649E-03
-2.091813E-01	-4.302526E-03
-2.001808E-01	-4.181191E-03
-1.910237E-01	-4.145924E-03
-1.819238E-01	-4.168029E-03
-1.729277E-01	-4.205364E-03
-1.638202E-01	-3.927724E-03
-1.546386E-01	-3.843470E-03
-1.456645E-01	-3.984089E-03
-1.366266E-01	-3.919101E-03
-1.274837E-01	-3.772623E-03
-1.182515E-01	-3.621956E-03
-1.092720E-01	-3.766737E-03
-1.001235E-01	-3.630228E-03
-9.108943E-02	-3.626378E-03
-8.199695E-02	-3.360498E-03
-7.284504E-02	-3.302853E-03
-6.381574E-02	-3.437510E-03
-5.475722E-02	-3.259239E-03
-4.551808E-02	-3.125907E-03
-3.641121E-02	-3.105405E-03
-2.738147E-02	-3.159225E-03
-1.836790E-02	-3.042194E-03
-9.158785E-03	-2.811151E-03
-3.145108E-05	-2.741446E-03
+9.048415E-03	-2.746999E-03
+1.813039E-02	-2.774752E-03
+2.717847E-02	-2.531996E-03
+3.629072E-02	-2.424672E-03
+4.555282E-02	-2.472972E-03
+5.448287E-02	-2.414211E-03
+6.354832E-02	-2.274839E-03
+7.259967E-02	-2.090015E-03
+8.176234E-02	-2.145907E-03
+9.075990E-02	-2.069620E-03
+9.999073E-02	-1.962767E-03
+1.090163E-01	-1.729122E-03
+1.182049E-01	-1.665862E-03
+1.271973E-01	-1.510083E-03
+1.364440E-01	-1.494067E-03
+1.454431E-01	-1.417344E-03
+1.544916E-01	-1.293842E-03
+1.636370E-01	-1.067156E-03
+1.712542E-01	-1.049457E-03
+1.817000E-01	-8.256165E-04
+1.909834E-01	-7.211252E-04
+2.000158E-01	-6.087506E-04
+2.091680E-01	-4.161036E-04
+2.180170E-01	-3.622806E-04
+2.270587E-01	-1.768691E-04
+2.331483E-01	-5.083791E-06
+2.453780E-01	+1.980880E-04
+2.546114E-01	+3.506281E-04
+2.635415E-01	+4.632682E-04
+2.725727E-01	+6.481373E-04
+2.817974E-01	+9.051677E-04
+2.896674E-01	+1.049893E-03
+2.999100E-01	+1.314465E-03
+3.088842E-01	+1.486843E-03
+3.180613E-01	+1.677972E-03
+3.271511E-01	+1.916980E-03
+3.363199E-01	+2.199518E-03
+3.454618E-01	+2.404982E-03
+3.546207E-01	+2.641881E-03
+3.635357E-01	+2.899787E-03
+3.726176E-01	+3.204131E-03
+3.816678E-01	+3.474393E-03
+3.908705E-01	+3.714499E-03
+3.999781E-01	+3.994427E-03
+4.091701E-01	+4.312831E-03
+4.181326E-01	+4.596822E-03
+4.272912E-01	+4.934466E-03
+4.363897E-01	+5.237061E-03
+4.454100E-01	+5.547644E-03
+4.545229E-01	+5.876694E-03
+4.636505E-01	+6.228060E-03
+4.726619E-01	+6.564674E-03
+4.817789E-01	+6.896558E-03
+4.907284E-01	+7.259266E-03
+4.999804E-01	+7.613961E-03
+5.089124E-01	+7.990249E-03
+5.181538E-01	+8.347086E-03
+5.272759E-01	+8.723919E-03
+5.362440E-01	+9.116151E-03
+5.454732E-01	+9.518108E-03
+5.544346E-01	+9.913228E-03
+5.567870E-01	+9.999740E-03
+5.559819E-01	+1.000061E-02
+5.557027E-01	+1.000011E-02
+5.557214E-01	+9.998988E-03
+5.557902E-01	+9.999025E-03
+5.560721E-01	+1.000100E-02
+5.555180E-01	+1.000001E-02
+5.549960E-01	+9.999994E-03
+5.553868E-01	+1.000036E-02
+5.551935E-01	+1.000003E-02
+5.554674E-01	+1.000049E-02
+5.548064E-01	+9.998777E-03
+5.546157E-01	+9.999996E-03
+5.548156E-01	+9.999870E-03
+5.550557E-01	+1.000023E-02
+5.547604E-01	+9.999956E-03
+5.544472E-01	+9.998786E-03
+5.541152E-01	+9.999800E-03
+5.539767E-01	+1.000042E-02
+5.543293E-01	+9.999757E-03
+5.541221E-01	+1.000068E-02
+5.536289E-01	+9.999535E-03
+5.536544E-01	+9.998344E-03
+5.535792E-01	+9.999707E-03
+5.538955E-01	+9.998886E-03
+5.538690E-01	+9.999930E-03
+5.536068E-01	+9.999000E-03
+5.530182E-01	+9.999966E-03
+5.531644E-01	+9.999768E-03
+5.536302E-01	+1.000025E-02
+5.531995E-01	+9.998908E-03
+5.526051E-01	+9.998803E-03
+5.529017E-01	+9.999942E-03
+5.528128E-01	+1.000058E-02
+5.532446E-01	+9.999062E-03
+5.531342E-01	+1.000003E-02
+5.525063E-01	+9.999488E-03
+5.523155E-01	+1.000055E-02

