[0, 0, 0]
Voltage_1 (1)	Current_1 (1)
-5.000836E-01	-1.624985E-03
-4.910295E-01	-1.596444E-03
-4.818839E-01	-1.558208E-03
-4.728781E-01	-1.528752E-03
-4.637957E-01	-1.502668E-03
-4.546292E-01	-1.470759E-03
-4.455998E-01	-1.438912E-03
-4.364550E-01	-1.409049E-03
-4.273853E-01	-1.382199E-03
-4.184253E-01	-1.350155E-03
-4.093779E-01	-1.317668E-03
-4.001068E-01	-1.292550E-03
-3.911319E-01	-1.263262E-03
-3.818769E-01	-1.230301E-03
-3.728427E-01	-1.202181E-03
-3.638400E-01	-1.173091E-03
-3.546403E-01	-1.143573E-03
-3.456100E-01	-1.111452E-03
-3.364882E-01	-1.082848E-03
-3.273032E-01	-1.054797E-03
-3.182632E-01	-1.019487E-03
-3.093029E-01	-9.913483E-04
-3.002916E-01	-9.607056E-04
-2.908534E-01	-9.368454E-04
-2.819634E-01	-9.071217E-04
-2.728652E-01	-8.752444E-04
-2.637400E-01	-8.448089E-04
-2.547811E-01	-8.177370E-04
-2.456289E-01	-7.893952E-04
-2.365823E-01	-7.545802E-04
-2.273551E-01	-7.278473E-04
-2.185605E-01	-7.007319E-04
-2.090091E-01	-6.668597E-04
-2.001320E-01	-6.360259E-04
-1.909983E-01	-6.088987E-04
-1.819238E-01	-5.830523E-04
-1.728928E-01	-5.515219E-04
-1.636035E-01	-5.215416E-04
-1.547008E-01	-4.972506E-04
-1.456925E-01	-4.664661E-04
-1.364024E-01	-4.350207E-04
-1.274959E-01	-4.093908E-04
-1.183186E-01	-3.808019E-04
-1.090309E-01	-3.495962E-04
-1.000688E-01	-3.175834E-04
-9.100094E-02	-2.927876E-04
-8.191451E-02	-2.651121E-04
-7.278096E-02	-2.306255E-04
-6.374124E-02	-2.032165E-04
-5.479748E-02	-1.770358E-04
-4.564403E-02	-1.433959E-04
-3.648699E-02	-1.138654E-04
-2.734557E-02	-8.530387E-05
-1.849926E-02	-6.101087E-05
-9.067641E-03	-3.253118E-05
-4.874254E-04	-2.085192E-06
+8.707562E-03	+2.542769E-05
+1.836497E-02	+6.010028E-05
+2.730103E-02	+8.624987E-05
+3.619975E-02	+1.142641E-04
+4.541985E-02	+1.464318E-04
+5.442609E-02	+1.785603E-04
+6.351870E-02	+2.000543E-04
+7.269194E-02	+2.318225E-04
+8.192706E-02	+2.632891E-04
+9.085759E-02	+2.879048E-04
+9.998433E-02	+3.173337E-04
+1.092903E-01	+3.477729E-04
+1.182708E-01	+3.813481E-04
+1.271631E-01	+4.083453E-04
+1.364069E-01	+4.345723E-04
+1.452428E-01	+4.716162E-04
+1.544164E-01	+4.998553E-04
+1.636277E-01	+5.273035E-04
+1.725300E-01	+5.590131E-04
+1.816425E-01	+5.907972E-04
+1.908686E-01	+6.211541E-04
+1.998274E-01	+6.458047E-04
+2.089657E-01	+6.785317E-04
+2.180931E-01	+7.120383E-04
+2.269836E-01	+7.391956E-04
+2.362901E-01	+7.697682E-04
+2.454534E-01	+8.036364E-04
+2.543895E-01	+8.376965E-04
+2.637852E-01	+8.680952E-04
+2.724957E-01	+9.006406E-04
+2.816344E-01	+9.405108E-04
+2.908496E-01	+9.738564E-04
