[0, 0, 0]
Voltage_1 (1)	Current_1 (1)
-5.001189E-01	-2.995751E-03
-4.909985E-01	-2.939968E-03
-4.819344E-01	-2.883312E-03
-4.728553E-01	-2.823482E-03
-4.636520E-01	-2.761083E-03
-4.545926E-01	-2.702041E-03
-4.455689E-01	-2.641971E-03
-4.365386E-01	-2.580759E-03
-4.273803E-01	-2.521485E-03
-4.182885E-01	-2.463550E-03
-4.092240E-01	-2.404392E-03
-4.000925E-01	-2.340768E-03
-3.910065E-01	-2.284200E-03
-3.820198E-01	-2.227263E-03
-3.728374E-01	-2.165939E-03
-3.638498E-01	-2.107433E-03
-3.547353E-01	-2.052378E-03
-3.456429E-01	-1.994631E-03
-3.363846E-01	-1.937288E-03
-3.273451E-01	-1.879547E-03
-3.183355E-01	-1.825684E-03
-3.092654E-01	-1.767453E-03
-3.001432E-01	-1.711199E-03
-2.910330E-01	-1.659694E-03
-2.819473E-01	-1.603105E-03
-2.728547E-01	-1.546332E-03
-2.636716E-01	-1.493497E-03
-2.546655E-01	-1.440089E-03
-2.456012E-01	-1.385584E-03
-2.364238E-01	-1.328492E-03
-2.274351E-01	-1.276921E-03
-2.183292E-01	-1.225908E-03
-2.093093E-01	-1.167881E-03
-2.002204E-01	-1.115614E-03
-1.910761E-01	-1.065325E-03
-1.819672E-01	-1.012813E-03
-1.728550E-01	-9.632024E-04
-1.638181E-01	-9.089705E-04
-1.546660E-01	-8.607420E-04
-1.456053E-01	-8.094912E-04
-1.364925E-01	-7.587858E-04
-1.274640E-01	-7.061220E-04
-1.183477E-01	-6.574746E-04
-1.092468E-01	-6.078274E-04
-1.002897E-01	-5.539599E-04
-9.105361E-02	-5.031800E-04
-8.195331E-02	-4.550850E-04
-7.292692E-02	-4.045379E-04
-6.396051E-02	-3.529395E-04
-5.466116E-02	-3.044168E-04
-4.554902E-02	-2.564663E-04
-3.650262E-02	-2.049286E-04
-2.745633E-02	-1.542152E-04
-1.824760E-02	-1.072169E-04
-9.241689E-03	-5.686326E-05
+1.509043E-04	-2.569055E-06
+8.782531E-03	+4.908032E-05
+1.822698E-02	+1.010166E-04
+2.717782E-02	+1.493135E-04
+3.627661E-02	+2.037710E-04
+4.551295E-02	+2.592726E-04
+5.462692E-02	+3.098447E-04
+6.352818E-02	+3.661056E-04
+7.270887E-02	+4.241441E-04
+8.173982E-02	+4.814038E-04
+9.070562E-02	+5.393382E-04
+9.977379E-02	+5.989724E-04
+1.091713E-01	+6.656087E-04
+1.182215E-01	+7.289633E-04
+1.273211E-01	+7.938114E-04
+1.365187E-01	+8.637649E-04
+1.455716E-01	+9.354458E-04
+1.544723E-01	+1.007442E-03
+1.636333E-01	+1.081447E-03
+1.726117E-01	+1.160241E-03
+1.816576E-01	+1.240855E-03
+1.907516E-01	+1.331905E-03
+1.998966E-01	+1.421668E-03
+2.089312E-01	+1.515358E-03
+2.181057E-01	+1.613728E-03
+2.272533E-01	+1.720316E-03
+2.363093E-01	+1.826879E-03
+2.454271E-01	+1.937122E-03
+2.545171E-01	+2.058519E-03
+2.634438E-01	+2.182356E-03
+2.727285E-01	+2.309667E-03
+2.817728E-01	+2.445237E-03
+2.908044E-01	+2.591212E-03
+2.999578E-01	+2.737852E-03
+3.090132E-01	+2.890504E-03
+3.181277E-01	+3.050635E-03
+3.272696E-01	+3.222906E-03
+3.363707E-01	+3.395190E-03
+3.453686E-01	+3.575554E-03
+3.544472E-01	+3.768216E-03
+3.636528E-01	+3.962911E-03
+3.725676E-01	+4.162147E-03
+3.817922E-01	+4.370320E-03
