[0, 0, 0]
Voltage_1 (1)	Current_1 (1)
-5.001810E-01	-6.487991E-03
-4.908985E-01	-6.353630E-03
-4.818161E-01	-6.457649E-03
-4.730462E-01	-6.650547E-03
-4.638067E-01	-6.087956E-03
-4.546260E-01	-5.998409E-03
-4.455802E-01	-6.382707E-03
-4.366293E-01	-6.399164E-03
-4.275298E-01	-6.198992E-03
-4.182939E-01	-5.854803E-03
-4.092343E-01	-6.307805E-03
-4.000565E-01	-6.033493E-03
-3.910527E-01	-6.324411E-03
-3.820966E-01	-5.820778E-03
-3.727227E-01	-5.664743E-03
-3.637790E-01	-6.004571E-03
-3.548341E-01	-6.121021E-03
-3.457690E-01	-5.944206E-03
-3.364350E-01	-5.519371E-03
-3.273658E-01	-5.934567E-03
-3.183296E-01	-6.023972E-03
-3.092426E-01	-5.693691E-03
-3.001924E-01	-5.503816E-03
-2.910254E-01	-5.391267E-03
-2.817948E-01	-5.619274E-03
-2.729113E-01	-5.832897E-03
-2.638617E-01	-5.640748E-03
-2.546002E-01	-5.229414E-03
-2.455301E-01	-5.611733E-03
-2.364658E-01	-5.700938E-03
-2.274946E-01	-5.417047E-03
-2.181937E-01	-5.123963E-03
-2.091512E-01	-5.192793E-03
-2.000876E-01	-5.306876E-03
-1.910921E-01	-5.560366E-03
-1.820540E-01	-5.424576E-03
-1.728067E-01	-4.947736E-03
-1.637364E-01	-5.265774E-03
-1.546889E-01	-5.360258E-03
-1.456250E-01	-5.184069E-03
-1.364629E-01	-4.803766E-03
-1.272861E-01	-4.859705E-03
-1.182608E-01	-5.259103E-03
-1.092841E-01	-4.916711E-03
-1.001095E-01	-5.073247E-03
-9.109326E-02	-4.622444E-03
-8.183317E-02	-4.926041E-03
-7.297949E-02	-5.037049E-03
-6.381460E-02	-4.672729E-03
-5.458970E-02	-4.516718E-03
-4.553953E-02	-4.626060E-03
-3.648419E-02	-4.789740E-03
-2.739796E-02	-4.298216E-03
-1.821046E-02	-4.213700E-03
-9.211346E-03	-4.580677E-03
-1.530586E-04	-4.524073E-03
+8.958005E-03	-4.424133E-03
+1.820705E-02	-3.955538E-03
+2.719514E-02	-4.069048E-03
+3.635260E-02	-4.106050E-03
+4.521523E-02	-3.968066E-03
