[0, 0, 0]
Voltage_1 (1)	Current_1 (1)
-5.001844E-01	-2.255686E-03
-4.910353E-01	-2.207836E-03
-4.818421E-01	-2.155219E-03
-4.729344E-01	-2.103416E-03
-4.637251E-01	-2.055488E-03
-4.547098E-01	-2.008785E-03
-4.456228E-01	-1.957274E-03
-4.364729E-01	-1.908007E-03
-4.273525E-01	-1.865798E-03
-4.183715E-01	-1.816562E-03
-4.091869E-01	-1.765677E-03
-4.001695E-01	-1.724655E-03
-3.910895E-01	-1.679901E-03
-3.819438E-01	-1.632123E-03
-3.727718E-01	-1.584206E-03
-3.637260E-01	-1.543404E-03
-3.547809E-01	-1.498926E-03
-3.456250E-01	-1.448886E-03
-3.364354E-01	-1.407433E-03
-3.273983E-01	-1.368262E-03
-3.183451E-01	-1.319903E-03
-3.092619E-01	-1.277659E-03
-3.001598E-01	-1.236393E-03
-2.910703E-01	-1.197960E-03
-2.819144E-01	-1.153524E-03
-2.727570E-01	-1.111938E-03
-2.637985E-01	-1.078070E-03
-2.547020E-01	-1.035687E-03
-2.454819E-01	-9.983709E-04
-2.364900E-01	-9.540187E-04
-2.274658E-01	-9.186491E-04
-2.183367E-01	-8.824291E-04
-2.091625E-01	-8.387613E-04
-2.001800E-01	-8.009088E-04
-1.910325E-01	-7.642214E-04
-1.818825E-01	-7.315414E-04
-1.728780E-01	-6.914665E-04
-1.637462E-01	-6.532922E-04
-1.546209E-01	-6.237030E-04
-1.456526E-01	-5.848415E-04
-1.365340E-01	-5.469053E-04
-1.274305E-01	-5.160167E-04
-1.183133E-01	-4.808560E-04
-1.091460E-01	-4.432728E-04
-1.000949E-01	-4.054122E-04
-9.099659E-02	-3.733350E-04
-8.184449E-02	-3.405428E-04
-7.289219E-02	-2.988544E-04
-6.367053E-02	-2.661408E-04
-5.467636E-02	-2.337148E-04
-4.560226E-02	-1.924298E-04
-3.646462E-02	-1.572795E-04
-2.734348E-02	-1.227143E-04
-1.823272E-02	-8.703163E-05
-9.234623E-03	-4.496340E-05
-3.905715E-05	-1.158398E-05
+8.995228E-03	+2.880058E-05
+1.817577E-02	+7.357282E-05
+2.727807E-02	+1.123419E-04
+3.627226E-02	+1.597160E-04
+4.524209E-02	+2.012749E-04
+5.449274E-02	+2.485687E-04
+6.360683E-02	+3.007446E-04
+7.279333E-02	+3.556168E-04
+8.181824E-02	+4.084288E-04
+9.083100E-02	+4.672399E-04
+9.991579E-02	+5.357293E-04
+1.090302E-01	+6.012555E-04
+1.181593E-01	+6.695341E-04
+1.272573E-01	+7.460458E-04
+1.363360E-01	+8.284952E-04
+1.454369E-01	+9.126579E-04
+1.544831E-01	+9.997973E-04
+1.636777E-01	+1.098148E-03
+1.727261E-01	+1.197997E-03
+1.818335E-01	+1.316108E-03
+1.908098E-01	+1.430626E-03
+1.998966E-01	+1.555585E-03
+2.090680E-01	+1.685839E-03
+2.182349E-01	+1.828675E-03
+2.271421E-01	+1.978563E-03
+2.362848E-01	+2.130473E-03
+2.454116E-01	+2.299443E-03
+2.544761E-01	+2.478852E-03
+2.636681E-01	+2.659113E-03
+2.726281E-01	+2.855062E-03
+2.817645E-01	+3.062222E-03
+2.908790E-01	+3.279627E-03
+2.998371E-01	+3.504115E-03
+3.089752E-01	+3.741018E-03
+3.180764E-01	+3.995700E-03
+3.271207E-01	+4.254229E-03
+3.362811E-01	+4.521510E-03
+3.452920E-01	+4.807436E-03
+3.545510E-01	+5.102835E-03
+3.636723E-01	+5.407527E-03
+3.726461E-01	+5.720088E-03
+3.817627E-01	+6.050089E-03
+3.907735E-01	+6.391552E-03
+3.999965E-01	+6.735242E-03
+4.090309E-01	+7.097959E-03
+4.180840E-01	+7.473361E-03
+4.272102E-01	+7.857147E-03
+4.362577E-01	+8.251066E-03
+4.454704E-01	+8.656032E-03
+4.545240E-01	+9.082071E-03
+4.636498E-01	+9.506633E-03
+4.727863E-01	+9.943631E-03
+4.737755E-01	+9.999296E-03
+4.737130E-01	+9.999129E-03
+4.736989E-01	+9.998337E-03
+4.738170E-01	+9.999592E-03
+4.738532E-01	+1.000015E-02
+4.738170E-01	+1.000077E-02
+4.739045E-01	+1.000030E-02
+4.738507E-01	+9.999573E-03
+4.739045E-01	+1.000027E-02
+4.737660E-01	+9.999414E-03
+4.739759E-01	+9.999887E-03
+4.740641E-01	+1.000000E-02
+4.739870E-01	+1.000098E-02
+4.741192E-01	+1.000003E-02
+4.741042E-01	+9.999480E-03
+4.741724E-01	+9.999729E-03
+4.741481E-01	+9.999275E-03
+4.742694E-01	+9.999448E-03
+4.741472E-01	+9.998299E-03
+4.743207E-01	+1.000014E-02
+4.742362E-01	+9.999844E-03
+4.744527E-01	+9.999893E-03
+4.746388E-01	+1.000028E-02
+4.745089E-01	+9.999362E-03
+4.743372E-01	+9.998566E-03
+4.745428E-01	+1.000011E-02
+4.745904E-01	+9.999994E-03
+4.746777E-01	+1.000031E-02
+4.747043E-01	+1.000015E-02
+4.745708E-01	+9.999368E-03
+4.749076E-01	+1.000027E-02
+4.748487E-01	+1.000015E-02
+4.747757E-01	+9.999692E-03
+4.747666E-01	+9.998365E-03
+4.747305E-01	+9.998208E-03
+4.750396E-01	+9.999717E-03
+4.749609E-01	+9.999448E-03
+4.750519E-01	+1.000015E-02
+4.751157E-01	+9.999734E-03
+4.752085E-01	+1.000072E-02
+4.751166E-01	+9.999876E-03
+4.751793E-01	+9.999909E-03
+4.751664E-01	+9.998381E-03
+4.752230E-01	+9.999951E-03
+4.751926E-01	+9.999800E-03
+4.753619E-01	+9.999471E-03
+4.753046E-01	+9.999956E-03

