[0, 0, 0]
Voltage_1 (1)	Current_1 (1)
-5.002095E-01	-8.075856E-04
-4.911504E-01	-7.829593E-04
-4.819867E-01	-7.622428E-04
-4.729508E-01	-7.483642E-04
-4.638156E-01	-7.293285E-04
-4.547996E-01	-7.112211E-04
-4.455703E-01	-6.953178E-04
-4.366326E-01	-6.800129E-04
-4.274843E-01	-6.610898E-04
-4.183851E-01	-6.420872E-04
-4.093529E-01	-6.312340E-04
-4.001406E-01	-6.139359E-04
-3.910112E-01	-5.962625E-04
-3.820037E-01	-5.806973E-04
-3.729070E-01	-5.674672E-04
-3.638551E-01	-5.510616E-04
-3.547699E-01	-5.311898E-04
-3.456685E-01	-5.176847E-04
-3.364678E-01	-5.045114E-04
-3.274499E-01	-4.835081E-04
-3.183070E-01	-4.694009E-04
-3.092911E-01	-4.576782E-04
-3.001534E-01	-4.410992E-04
-2.911249E-01	-4.245283E-04
-2.819346E-01	-4.094992E-04
-2.730213E-01	-3.982064E-04
-2.638209E-01	-3.819719E-04
-2.547795E-01	-3.652777E-04
-2.455392E-01	-3.567791E-04
-2.365316E-01	-3.418909E-04
-2.273512E-01	-3.246394E-04
-2.182500E-01	-3.134657E-04
-2.092927E-01	-3.012721E-04
-2.001523E-01	-2.870060E-04
-1.911704E-01	-2.691300E-04
-1.820540E-01	-2.573362E-04
-1.729587E-01	-2.466858E-04
-1.638791E-01	-2.273867E-04
-1.548122E-01	-2.157796E-04
-1.457034E-01	-2.052687E-04
-1.366464E-01	-1.918340E-04
-1.274739E-01	-1.760717E-04
-1.183658E-01	-1.630474E-04
-1.093671E-01	-1.549905E-04
-1.001892E-01	-1.410493E-04
-9.110840E-02	-1.262594E-04
-8.202754E-02	-1.180158E-04
-7.305307E-02	-1.051575E-04
-6.382141E-02	-9.301270E-05
-5.461282E-02	-7.471233E-05
-4.577594E-02	-6.494391E-05
-3.670260E-02	-5.569664E-05
-2.751131E-02	-3.682619E-05
-1.839959E-02	-2.587742E-05
-9.372393E-03	-1.681206E-05
-2.594296E-04	-1.110180E-06
+8.890432E-03	+8.660271E-06
+1.824526E-02	+2.502490E-05
+2.737419E-02	+4.068826E-05
+3.620323E-02	+5.011297E-05
+4.548391E-02	+6.750363E-05
+5.455386E-02	+8.543352E-05
+6.353996E-02	+9.486132E-05
+7.273384E-02	+1.166701E-04
+8.176135E-02	+1.281827E-04
+9.088689E-02	+1.492188E-04
+9.997971E-02	+1.698249E-04
+1.090169E-01	+1.876861E-04
+1.182003E-01	+2.095068E-04
+1.271896E-01	+2.341925E-04
+1.363377E-01	+2.639474E-04
+1.454442E-01	+2.894781E-04
+1.545274E-01	+3.188094E-04
+1.635813E-01	+3.588189E-04
+1.726663E-01	+3.940254E-04
+1.818367E-01	+4.329264E-04
+1.908442E-01	+4.802625E-04
+2.000539E-01	+5.301774E-04
+2.090386E-01	+5.849929E-04
+2.181869E-01	+6.376249E-04
+2.271987E-01	+7.042268E-04
+2.362302E-01	+7.750131E-04
+2.453581E-01	+8.460574E-04
+2.545004E-01	+9.275996E-04
+2.635742E-01	+1.016251E-03
+2.725868E-01	+1.112358E-03
+2.817052E-01	+1.211249E-03
+2.908480E-01	+1.320815E-03
+2.998724E-01	+1.435459E-03
+3.089572E-01	+1.554698E-03
+3.181352E-01	+1.680752E-03
+3.270773E-01	+1.810858E-03
+3.362292E-01	+1.952332E-03
+3.453518E-01	+2.100450E-03
+3.544692E-01	+2.247888E-03
+3.636104E-01	+2.406204E-03
+3.726963E-01	+2.571483E-03
+3.817647E-01	+2.740817E-03
+3.908238E-01	+2.910711E-03
+3.998697E-01	+3.090676E-03
+4.092014E-01	+3.283055E-03
