[0, 0, 0]
Voltage_1 (1)	Current_1 (1)
-5.000852E-01	-1.706285E-02
-4.910516E-01	-1.698128E-02
-4.818792E-01	-1.697621E-02
-4.728773E-01	-1.679993E-02
-4.638054E-01	-1.605379E-02
-4.547128E-01	-1.586168E-02
-4.455468E-01	-1.619492E-02
-4.365075E-01	-1.588771E-02
-4.275729E-01	-1.545819E-02
-4.184003E-01	-1.505983E-02
-4.093860E-01	-1.541949E-02
-4.001339E-01	-1.496536E-02
-3.910640E-01	-1.503619E-02
-3.820245E-01	-1.426531E-02
-3.728969E-01	-1.396653E-02
-3.637694E-01	-1.420108E-02
-3.547982E-01	-1.416043E-02
-3.456858E-01	-1.378968E-02
-3.365478E-01	-1.315269E-02
-3.273106E-01	-1.342368E-02
-3.182955E-01	-1.337638E-02
-3.092822E-01	-1.292099E-02
-2.999997E-01	-1.255372E-02
-2.910379E-01	-1.219247E-02
-2.819930E-01	-1.222325E-02
-2.728797E-01	-1.239107E-02
-2.638108E-01	-1.206017E-02
-2.545545E-01	-1.134171E-02
-2.455707E-01	-1.150810E-02
-2.363822E-01	-1.147775E-02
-2.274471E-01	-1.120855E-02
-2.183180E-01	-1.053874E-02
-2.091788E-01	-1.037597E-02
-2.000577E-01	-1.026838E-02
-1.910860E-01	-1.053868E-02
-1.819607E-01	-1.038078E-02
-1.730200E-01	-9.822228E-03
-1.637592E-01	-9.384962E-03
-1.546787E-01	-9.357224E-03
-1.458072E-01	-9.554007E-03
-1.365473E-01	-8.887181E-03
-1.274244E-01	-8.539489E-03
-1.181715E-01	-8.636615E-03
-1.094170E-01	-8.672227E-03
-1.001845E-01	-8.480741E-03
-9.111492E-02	-7.911378E-03
-8.194570E-02	-7.568595E-03
-7.280964E-02	-7.562765E-03
-6.395404E-02	-7.560114E-03
-5.467992E-02	-6.842811E-03
-4.551296E-02	-6.624303E-03
-3.651847E-02	-6.877037E-03
-2.744194E-02	-6.451154E-03
-1.833912E-02	-6.032777E-03
-9.151397E-03	-5.906729E-03
-2.290381E-04	-5.729088E-03
+8.996661E-03	-5.524866E-03
+1.795518E-02	-5.452177E-03
+2.726599E-02	-4.781264E-03
+3.629116E-02	-4.525231E-03
+4.547223E-02	-4.651048E-03
+5.434011E-02	-4.336808E-03
+6.361064E-02	-3.954157E-03
+7.284740E-02	-3.543672E-03
+8.168314E-02	-3.642047E-03
+9.081960E-02	-3.380346E-03
+9.979912E-02	-3.053425E-03
+1.089846E-01	-2.428863E-03
+1.180515E-01	-2.115071E-03
+1.271965E-01	-2.071892E-03
+1.363048E-01	-1.884081E-03
+1.454475E-01	-1.270445E-03
+1.544403E-01	-1.187247E-03
+1.638584E-01	-8.496335E-04
+1.727682E-01	-5.851225E-04
+1.812461E-01	-1.899358E-04
+1.910039E-01	+3.676469E-04
+1.997458E-01	+6.493267E-04
+2.093418E-01	+9.906093E-04
+2.181111E-01	+1.177786E-03
+2.270894E-01	+1.737136E-03
+2.363541E-01	+2.038840E-03
+2.454581E-01	+2.253598E-03
+2.544138E-01	+2.655208E-03
+2.634671E-01	+3.259103E-03
+2.726037E-01	+3.638001E-03
+2.817710E-01	+4.004944E-03
+2.908183E-01	+4.322991E-03
+2.997907E-01	+4.786470E-03
+3.089328E-01	+5.295977E-03
+3.181790E-01	+5.871522E-03
+3.272421E-01	+6.188210E-03
+3.362871E-01	+6.636365E-03
+3.454138E-01	+7.163493E-03
+3.545101E-01	+7.770209E-03
+3.636386E-01	+8.257581E-03
+3.725948E-01	+8.647886E-03
+3.817823E-01	+9.194900E-03
+3.906929E-01	+9.766861E-03
+3.999737E-01	+1.034175E-02
+4.090199E-01	+1.089761E-02
+4.180407E-01	+1.142935E-02
+4.273952E-01	+1.192258E-02
+4.363267E-01	+1.257195E-02
+4.453418E-01	+1.316542E-02
+4.545711E-01	+1.376070E-02
+4.635448E-01	+1.429882E-02
+4.726554E-01	+1.491692E-02
+4.817971E-01	+1.559870E-02
+4.908453E-01	+1.621356E-02
+4.999134E-01	+1.687796E-02
+5.090475E-01	+1.746973E-02
+5.180458E-01	+1.811376E-02
+5.271946E-01	+1.879512E-02
+5.362455E-01	+1.947920E-02
+5.437188E-01	+1.999894E-02
+5.433128E-01	+2.000072E-02
+5.428648E-01	+1.999868E-02
+5.427431E-01	+2.000369E-02
+5.428790E-01	+1.998859E-02
+5.425417E-01	+1.998992E-02
+5.427894E-01	+1.999828E-02
+5.427385E-01	+1.999666E-02
+5.424631E-01	+1.999737E-02
+5.421436E-01	+2.000010E-02
+5.424085E-01	+2.000110E-02
+5.423836E-01	+2.000036E-02
+5.423141E-01	+1.999528E-02
+5.419396E-01	+1.999873E-02
+5.421745E-01	+1.999084E-02
+5.419318E-01	+2.000374E-02
+5.421296E-01	+1.999835E-02
+5.421678E-01	+1.999523E-02
+5.420690E-01	+1.999486E-02
+5.417883E-01	+2.000737E-02
+5.418245E-01	+2.000010E-02
+5.418558E-01	+1.999728E-02
+5.420631E-01	+1.999802E-02
+5.417234E-01	+1.999754E-02
+5.416122E-01	+1.999692E-02
+5.415749E-01	+1.999911E-02
+5.417998E-01	+1.999702E-02
+5.419124E-01	+1.999998E-02
+5.418348E-01	+1.999037E-02
+5.416702E-01	+1.999678E-02
+5.414694E-01	+1.999552E-02
+5.415390E-01	+1.999681E-02
+5.418471E-01	+1.999714E-02
+5.413936E-01	+1.999963E-02
+5.413793E-01	+1.999756E-02
+5.412080E-01	+1.999533E-02
+5.414326E-01	+1.999604E-02
+5.415785E-01	+1.999528E-02
+5.413793E-01	+1.999377E-02
+5.412819E-01	+1.999497E-02

