[0, 0, 0]
Voltage_1 (1)	Current_1 (1)
-3.521508E-01	-1.000127E-02
-3.845285E-01	-9.999693E-03
-4.086284E-01	-1.000078E-02
-3.888219E-01	-1.000066E-02
-3.497442E-01	-1.000095E-02
-3.522737E-01	-1.000048E-02
-4.045592E-01	-1.000066E-02
-3.984876E-01	-1.000019E-02
-3.868203E-01	-1.000028E-02
-3.487099E-01	-1.000136E-02
-3.958301E-01	-1.000068E-02
-4.002713E-01	-1.000108E-02
-3.913617E-01	-1.000064E-02
-3.819832E-01	-9.615620E-03
-3.495169E-01	-1.000118E-02
-3.560987E-01	-1.000103E-02
-3.548252E-01	-9.638119E-03
-3.455695E-01	-9.283711E-03
-3.364758E-01	-9.417051E-03
-3.275715E-01	-9.740138E-03
-3.183790E-01	-9.091676E-03
-3.092039E-01	-8.883584E-03
-3.002090E-01	-8.799483E-03
-2.911069E-01	-9.250931E-03
-2.820681E-01	-9.295604E-03
-2.729307E-01	-8.732811E-03
-2.637268E-01	-8.532331E-03
-2.546655E-01	-8.675257E-03
-2.457362E-01	-8.888613E-03
-2.364089E-01	-8.205840E-03
-2.274400E-01	-8.012122E-03
-2.183937E-01	-8.458723E-03
-2.094448E-01	-8.437776E-03
-2.003038E-01	-8.437495E-03
-1.912293E-01	-7.841753E-03
-1.818966E-01	-7.712277E-03
-1.729199E-01	-7.876616E-03
-1.640891E-01	-8.011182E-03
-1.547924E-01	-7.345132E-03
-1.455846E-01	-7.227172E-03
-1.365931E-01	-7.595211E-03
-1.277148E-01	-7.608819E-03
-1.184610E-01	-7.369940E-03
-1.091362E-01	-6.871830E-03
-1.000068E-01	-6.880681E-03
-9.107258E-02	-7.017833E-03
-8.210792E-02	-7.259264E-03
-7.289107E-02	-6.557884E-03
-6.369489E-02	-6.396351E-03
-5.466698E-02	-6.906684E-03
-4.573061E-02	-6.636149E-03
-3.658035E-02	-6.276167E-03
-2.734251E-02	-6.223510E-03
-1.828796E-02	-6.645972E-03
-9.303719E-03	-6.365641E-03
-2.442319E-04	-6.226610E-03
+8.996551E-03	-5.654716E-03
+1.822235E-02	-5.717766E-03
+2.705271E-02	-6.146364E-03
+3.613548E-02	-5.581130E-03
+4.537914E-02	-5.366521E-03
+5.455614E-02	-5.476084E-03
+6.342977E-02	-5.756893E-03
+7.255102E-02	-5.542992E-03
+8.181895E-02	-4.922276E-03
+9.074687E-02	-5.278215E-03
+9.996093E-02	-4.902088E-03
+1.089548E-01	-5.296892E-03
+1.179875E-01	-4.760682E-03
+1.271646E-01	-4.460718E-03
+1.363662E-01	-4.513697E-03
+1.453141E-01	-4.869551E-03
+1.544154E-01	-4.681739E-03
+1.634548E-01	-4.043212E-03
+1.727489E-01	-4.087607E-03
+1.818497E-01	-4.135197E-03
+1.907147E-01	-4.229726E-03
+1.997453E-01	-4.001695E-03
+2.090133E-01	-3.422818E-03
+2.178601E-01	-3.696416E-03
+2.271423E-01	-3.186056E-03
+2.363138E-01	-3.426634E-03
+2.452132E-01	-3.331869E-03
+2.542573E-01	-3.229898E-03
+2.635428E-01	-2.636017E-03
