[0, 0, 0]
Voltage_1 (1)	Current_1 (1)
-5.002319E-01	-5.814403E-03
-4.909762E-01	-6.179213E-03
-4.820929E-01	-6.386014E-03
-4.730743E-01	-6.289581E-03
-4.636879E-01	-5.806010E-03
-4.546612E-01	-5.895750E-03
-4.457364E-01	-6.466095E-03
-4.366534E-01	-6.069412E-03
-4.275629E-01	-5.882041E-03
-4.183339E-01	-5.984684E-03
-4.094733E-01	-6.435688E-03
-4.000684E-01	-6.342493E-03
-3.911738E-01	-6.193371E-03
-3.819492E-01	-5.718458E-03
-3.728370E-01	-5.827878E-03
-3.638876E-01	-6.380920E-03
-3.548944E-01	-5.946698E-03
-3.456096E-01	-5.756783E-03
-3.365002E-01	-5.986798E-03
-3.276355E-01	-6.333678E-03
-3.184057E-01	-6.198664E-03
-3.092460E-01	-5.657521E-03
-3.000891E-01	-5.675613E-03
-2.909332E-01	-5.800029E-03
-2.821097E-01	-6.311676E-03
-2.729519E-01	-5.805191E-03
-2.637748E-01	-5.628846E-03
-2.546259E-01	-5.983717E-03
-2.456585E-01	-6.226500E-03
-2.366580E-01	-6.052527E-03
-2.274238E-01	-5.575373E-03
-2.183471E-01	-6.064568E-03
-2.091940E-01	-6.167652E-03
-2.002340E-01	-6.227484E-03
-1.912296E-01	-5.780903E-03
-1.820475E-01	-5.590557E-03
-1.728417E-01	-5.847619E-03
-1.639455E-01	-6.166947E-03
-1.548862E-01	-6.020457E-03
-1.457733E-01	-5.515533E-03
-1.365180E-01	-5.935645E-03
-1.274784E-01	-6.114324E-03
-1.183969E-01	-5.883225E-03
-1.091607E-01	-5.492427E-03
-1.001570E-01	-5.520153E-03
-9.110569E-02	-5.760637E-03
-8.209320E-02	-6.087592E-03
-7.306890E-02	-5.848221E-03
-6.381384E-02	-5.467945E-03
-5.476708E-02	-6.054197E-03
-4.561769E-02	-6.090261E-03
-3.649782E-02	-5.553516E-03
-2.725582E-02	-5.608783E-03
-1.830080E-02	-5.841574E-03
-9.356759E-03	-5.869319E-03
-3.050298E-04	-5.770299E-03
+8.981187E-03	-5.463167E-03
+1.819174E-02	-5.606406E-03
+2.699741E-02	-5.995535E-03
+3.618824E-02	-5.837331E-03
+4.545486E-02	-5.326468E-03
+5.459014E-02	-5.765264E-03
+6.353692E-02	-5.922187E-03
+7.265871E-02	-5.597446E-03
+8.178659E-02	-5.315573E-03
+9.085432E-02	-5.494681E-03
+9.996526E-02	-5.629480E-03
+1.089757E-01	-5.804766E-03
+1.179951E-01	-5.628405E-03
+1.272421E-01	-5.181806E-03
+1.362511E-01	-5.559952E-03
+1.454965E-01	-5.656460E-03
+1.543337E-01	-5.539130E-03
+1.636721E-01	-5.073436E-03
+1.727099E-01	-5.061802E-03
+1.816989E-01	-5.471778E-03
+1.906702E-01	-5.364116E-03
+1.998548E-01	-5.454174E-03
+2.088967E-01	-4.974301E-03
+2.181569E-01	-4.876625E-03
+2.272953E-01	-4.942752E-03
+2.360777E-01	-5.095588E-03
