[0, 0, 0]
Voltage_1 (1)	Current_1 (1)
-5.000868E-01	-7.232761E-03
-4.910417E-01	-7.619741E-03
-4.820170E-01	-7.716122E-03
-4.729232E-01	-7.396799E-03
-4.636803E-01	-7.105954E-03
-4.545873E-01	-7.188260E-03
-4.456251E-01	-7.563300E-03
-4.365509E-01	-7.108728E-03
-4.274918E-01	-6.932648E-03
-4.184411E-01	-7.111400E-03
-4.092398E-01	-7.351852E-03
-4.001424E-01	-7.276301E-03
-3.912185E-01	-7.035971E-03
-3.819019E-01	-6.669764E-03
-3.728646E-01	-6.746632E-03
-3.638041E-01	-7.094032E-03
-3.547201E-01	-6.672899E-03
-3.455361E-01	-6.507709E-03
-3.364170E-01	-6.663312E-03
-3.274718E-01	-6.878142E-03
-3.183487E-01	-6.712276E-03
-3.091760E-01	-6.282142E-03
-2.999729E-01	-6.265609E-03
-2.909971E-01	-6.324518E-03
-2.818936E-01	-6.617499E-03
-2.728384E-01	-6.209124E-03
-2.636638E-01	-6.050100E-03
-2.546291E-01	-6.194464E-03
-2.455732E-01	-6.365569E-03
-2.365071E-01	-6.224791E-03
-2.272934E-01	-5.807603E-03
-2.182615E-01	-6.029006E-03
-2.092056E-01	-6.047106E-03
-2.001404E-01	-6.042543E-03
-1.910837E-01	-5.788268E-03
-1.819791E-01	-5.580936E-03
-1.728885E-01	-5.551483E-03
-1.639360E-01	-5.766370E-03
-1.547432E-01	-5.653712E-03
-1.457377E-01	-5.262190E-03
-1.364602E-01	-5.342635E-03
-1.274815E-01	-5.369227E-03
-1.184278E-01	-5.340163E-03
-1.091163E-01	-4.978063E-03
-1.001976E-01	-4.990049E-03
-9.094446E-02	-4.914335E-03
-8.193585E-02	-5.105027E-03
-7.290973E-02	-4.968033E-03
-6.379634E-02	-4.611146E-03
-5.462204E-02	-4.774841E-03
-4.550315E-02	-4.770128E-03
-3.647638E-02	-4.482871E-03
-2.732924E-02	-4.356504E-03
-1.824107E-02	-4.373918E-03
-9.310943E-03	-4.378236E-03
-9.984958E-05	-4.268406E-03
+9.071765E-03	-4.042523E-03
+1.823524E-02	-3.919266E-03
+2.713631E-02	-4.054742E-03
+3.623753E-02	-3.960629E-03
+4.535743E-02	-3.643079E-03
+5.454962E-02	-3.610980E-03
+6.371816E-02	-3.585697E-03
+7.264894E-02	-3.536142E-03
+8.175989E-02	-3.236034E-03
+9.083209E-02	-3.139747E-03
+9.983162E-02	-3.075941E-03
+1.090890E-01	-3.147650E-03
+1.182001E-01	-3.040584E-03
+1.272664E-01	-2.777919E-03
+1.362658E-01	-2.645491E-03
+1.456112E-01	-2.582666E-03
+1.545902E-01	-2.590078E-03
+1.635495E-01	-2.345114E-03
+1.726363E-01	-2.189288E-03
+1.817922E-01	-2.101894E-03
+1.908705E-01	-2.101516E-03
+1.998230E-01	-1.972003E-03
+2.090450E-01	-1.820873E-03
+2.179632E-01	-1.687745E-03
+2.272340E-01	-1.440521E-03
+2.362935E-01	-1.309729E-03
+2.454484E-01	-1.285131E-03
+2.542999E-01	-1.176814E-03
+2.635986E-01	-1.004325E-03
+2.727545E-01	-8.787718E-04
+2.816360E-01	-7.647256E-04
+2.906600E-01	-5.447012E-04
+2.999251E-01	-3.727846E-04
+3.089137E-01	-2.006601E-04
+3.183082E-01	-1.010894E-04
+3.283515E-01	+4.825564E-05
+3.364695E-01	+2.517286E-04
+3.451677E-01	+3.422869E-04
+3.544725E-01	+5.786464E-04
+3.637419E-01	+6.992089E-04
+3.728447E-01	+8.470903E-04
+3.818393E-01	+1.055072E-03
+3.908640E-01	+1.208505E-03
+3.999633E-01	+1.366712E-03
+4.090801E-01	+1.548451E-03
+4.181245E-01	+1.744647E-03
+4.272331E-01	+1.961427E-03
+4.363265E-01	+2.103668E-03
+4.452863E-01	+2.282965E-03
+4.543868E-01	+2.498186E-03
+4.636042E-01	+2.718293E-03
+4.726166E-01	+2.910007E-03
+4.816790E-01	+3.075769E-03
+4.908816E-01	+3.298987E-03
+5.000426E-01	+3.512229E-03
+5.089185E-01	+3.703590E-03
+5.180458E-01	+3.933259E-03
