[0, 0, 0]
Voltage_1 (1)	Current_1 (1)
-5.005350E-01	-3.744625E-04
-4.908335E-01	-3.113491E-04
-4.819745E-01	-3.192445E-04
-4.729614E-01	-3.328854E-04
-4.635302E-01	-3.019476E-04
-4.547380E-01	-2.835651E-04
-4.456467E-01	-2.854730E-04
-4.364404E-01	-2.961355E-04
-4.273907E-01	-2.674829E-04
-4.184332E-01	-2.506368E-04
-4.093033E-01	-2.978159E-04
-4.004821E-01	-2.851489E-04
-3.908292E-01	-2.586792E-04
-3.818175E-01	-2.701728E-04
-3.728177E-01	-2.777425E-04
-3.637747E-01	-2.594833E-04
-3.546246E-01	-2.348293E-04
-3.454829E-01	-2.532380E-04
-3.361986E-01	-2.466952E-04
-3.273619E-01	-2.030657E-04
-3.181129E-01	-2.120381E-04
-3.094786E-01	-2.321662E-04
-3.006452E-01	-1.874800E-04
-2.904996E-01	-1.729196E-04
-2.819601E-01	-1.752028E-04
-2.727601E-01	-1.890446E-04
-2.637559E-01	-1.670106E-04
-2.549102E-01	-1.520614E-04
-2.458871E-01	-1.832363E-04
-2.364995E-01	-1.605779E-04
-2.275833E-01	-1.300350E-04
-2.185922E-01	-1.701876E-04
-2.095726E-01	-1.627792E-04
-2.002494E-01	-1.495649E-04
-1.910149E-01	-1.171044E-04
-1.819627E-01	-1.389226E-04
-1.730198E-01	-1.472834E-04
-1.655522E-01	-8.910713E-05
-1.547168E-01	-1.269609E-04
-1.458467E-01	-1.218595E-04
-1.363700E-01	-1.110201E-04
-1.277262E-01	-1.019478E-04
-1.183209E-01	-6.183490E-05
-1.074356E-01	-5.802160E-05
-1.022477E-01	-8.844971E-05
-9.095692E-02	-5.656230E-05
-8.200736E-02	-3.802918E-05
-7.314881E-02	-6.563847E-05
-6.342047E-02	-2.784918E-05
-5.544940E-02	-1.769726E-05
-4.606068E-02	-3.556419E-05
-3.821573E-02	-4.514985E-05
-2.759202E-02	-4.315118E-05
-1.492834E-02	+7.547757E-06
-9.280758E-03	-1.932964E-05
+1.093315E-03	+1.381558E-05
+9.627235E-03	+2.343327E-05
+1.807146E-02	+3.744439E-05
+2.803472E-02	+1.759061E-05
+3.637387E-02	+4.618631E-05
+4.462273E-02	+5.110990E-05
+5.480228E-02	+2.579398E-05
+6.320099E-02	+6.526945E-05
+7.365018E-02	+6.402509E-05
+8.071803E-02	+4.329428E-05
+9.300228E-02	+8.549260E-05
+1.002500E-01	+9.575727E-05
+1.113224E-01	+7.808502E-05
+1.196409E-01	+9.527204E-05
+1.209386E-01	+1.049795E-04
+1.357630E-01	+9.893045E-05
+1.457069E-01	+1.315309E-04
+1.544331E-01	+1.153282E-04
+1.631208E-01	+1.180969E-04
+1.722592E-01	+1.491532E-04
+1.816402E-01	+1.574583E-04
+1.905159E-01	+1.240394E-04
+2.001820E-01	+1.266319E-04
