[0, 0, 0]
Voltage_1 (1)	Current_1 (1)
-5.003231E-01	-7.264539E-04
-4.910943E-01	-7.145714E-04
-4.818300E-01	-7.021828E-04
-4.729110E-01	-6.879487E-04
-4.636657E-01	-6.712927E-04
-4.547465E-01	-6.603868E-04
-4.456806E-01	-6.471323E-04
-4.367739E-01	-6.316460E-04
-4.274538E-01	-6.170792E-04
-4.184529E-01	-6.046970E-04
-4.094195E-01	-5.902356E-04
-4.001894E-01	-5.760444E-04
-3.912037E-01	-5.619579E-04
-3.821338E-01	-5.510591E-04
-3.730274E-01	-5.369221E-04
-3.637564E-01	-5.231000E-04
-3.547973E-01	-5.123470E-04
-3.455324E-01	-4.959404E-04
-3.365602E-01	-4.814946E-04
-3.273221E-01	-4.698041E-04
-3.183962E-01	-4.581279E-04
-3.092104E-01	-4.425681E-04
-3.000855E-01	-4.276877E-04
-2.910886E-01	-4.151268E-04
-2.820216E-01	-4.035337E-04
-2.730413E-01	-3.874410E-04
-2.638768E-01	-3.742026E-04
-2.547871E-01	-3.621402E-04
-2.455833E-01	-3.493585E-04
-2.365420E-01	-3.344689E-04
-2.273243E-01	-3.221620E-04
-2.185112E-01	-3.115903E-04
-2.091785E-01	-2.964716E-04
-2.002109E-01	-2.839584E-04
-1.909389E-01	-2.731558E-04
-1.819802E-01	-2.605445E-04
-1.728006E-01	-2.456188E-04
-1.639324E-01	-2.322612E-04
-1.546508E-01	-2.214118E-04
-1.457170E-01	-2.084479E-04
-1.366380E-01	-1.932083E-04
-1.276152E-01	-1.819433E-04
-1.186973E-01	-1.707530E-04
-1.091286E-01	-1.541690E-04
-1.001518E-01	-1.433668E-04
-9.111984E-02	-1.292176E-04
-8.209789E-02	-1.182567E-04
-7.291388E-02	-1.043714E-04
-6.365080E-02	-9.188089E-05
-5.472051E-02	-8.077909E-05
-4.559952E-02	-6.843949E-05
-3.641508E-02	-5.413055E-05
-2.732358E-02	-4.198967E-05
-1.825681E-02	-3.089758E-05
-9.265611E-03	-1.654171E-05
+5.211632E-05	-2.343953E-06
+8.890214E-03	+7.391780E-06
+1.816090E-02	+2.003258E-05
+2.703622E-02	+3.601649E-05
+3.623536E-02	+4.669588E-05
+4.528687E-02	+5.844363E-05
+5.444758E-02	+7.488846E-05
+6.360000E-02	+8.527178E-05
+7.271060E-02	+9.867000E-05
+8.168021E-02	+1.116248E-04
+9.087767E-02	+1.254091E-04
+9.966623E-02	+1.428355E-04
+1.091411E-01	+1.572712E-04
+1.180711E-01	+1.697574E-04
+1.271425E-01	+1.862902E-04
+1.362031E-01	+2.018470E-04
+1.453209E-01	+2.197448E-04
+1.544643E-01	+2.355758E-04
+1.638375E-01	+2.558616E-04
+1.726258E-01	+2.760539E-04
+1.816554E-01	+2.961468E-04
+1.908925E-01	+3.208652E-04
+1.998282E-01	+3.477993E-04
+2.089843E-01	+3.782126E-04
+2.181591E-01	+4.111943E-04
+2.272305E-01	+4.504247E-04
+2.361953E-01	+4.974370E-04
+2.452801E-01	+5.500654E-04
+2.544199E-01	+6.117143E-04
+2.633967E-01	+6.860929E-04
+2.725293E-01	+7.733867E-04
+2.817694E-01	+8.783290E-04
+2.908717E-01	+1.002705E-03
+2.998604E-01	+1.145790E-03
+3.089572E-01	+1.329822E-03
+3.181809E-01	+1.556172E-03
+3.270697E-01	+1.832747E-03
+3.363132E-01	+2.162854E-03
+3.453076E-01	+2.508761E-03
+3.545118E-01	+3.019027E-03
+3.636886E-01	+3.626018E-03
+3.726851E-01	+4.330162E-03
+3.815377E-01	+5.182508E-03
+3.908897E-01	+6.343667E-03
+3.999862E-01	+7.680795E-03
+4.090044E-01	+9.378331E-03
+4.179905E-01	+1.151672E-02
+4.272762E-01	+1.423281E-02
+4.361417E-01	+1.818038E-02
+4.394856E-01	+1.999934E-02
+4.404106E-01	+1.999576E-02
