[0, 0, 0]
Voltage_1 (1)	Current_1 (1)
-5.003899E-01	-9.101883E-03
-4.913031E-01	-9.248696E-03
-4.821548E-01	-9.068286E-03
-4.728882E-01	-8.710761E-03
-4.639034E-01	-8.985098E-03
-4.549268E-01	-8.993670E-03
-4.457523E-01	-8.656239E-03
-4.363514E-01	-8.517393E-03
-4.273450E-01	-8.592155E-03
-4.185397E-01	-8.702949E-03
-4.093934E-01	-8.310280E-03
-4.003258E-01	-8.360829E-03
-3.909529E-01	-8.146373E-03
-3.820517E-01	-8.398402E-03
-3.730476E-01	-8.358726E-03
-3.639235E-01	-8.006974E-03
-3.545537E-01	-7.929901E-03
-3.455560E-01	-7.978941E-03
-3.366838E-01	-8.042702E-03
-3.274176E-01	-7.687723E-03
-3.183165E-01	-7.568000E-03
-3.091734E-01	-7.744759E-03
-3.001678E-01	-7.739443E-03
-2.911294E-01	-7.682790E-03
-2.819405E-01	-7.359774E-03
-2.728617E-01	-7.289226E-03
-2.637523E-01	-7.314893E-03
-2.547658E-01	-7.347922E-03
-2.455447E-01	-7.015518E-03
-2.364604E-01	-6.912166E-03
-2.273681E-01	-7.039943E-03
-2.185251E-01	-7.016283E-03
-2.094133E-01	-6.881782E-03
-2.002722E-01	-6.720203E-03
-1.909994E-01	-6.551846E-03
-1.819997E-01	-6.710495E-03
-1.729820E-01	-6.640552E-03
-1.638794E-01	-6.346673E-03
-1.545928E-01	-6.289505E-03
-1.456663E-01	-6.280847E-03
-1.366474E-01	-6.286617E-03
-1.273849E-01	-5.991347E-03
-1.183519E-01	-5.881772E-03
-1.091898E-01	-5.985216E-03
-1.000909E-01	-5.945353E-03
-9.120014E-02	-5.865487E-03
-8.204274E-02	-5.580922E-03
-7.280947E-02	-5.563554E-03
-6.373096E-02	-5.566387E-03
-5.474007E-02	-5.439593E-03
-4.550395E-02	-5.207859E-03
-3.649022E-02	-5.165888E-03
-2.742157E-02	-5.238322E-03
-1.833313E-02	-5.003578E-03
-9.204650E-03	-4.867421E-03
-1.150387E-04	-4.767847E-03
+9.134289E-03	-4.818621E-03
+1.816156E-02	-4.769690E-03
+2.705966E-02	-4.560577E-03
+3.636304E-02	-4.425352E-03
+4.542283E-02	-4.381166E-03
+5.440318E-02	-4.384235E-03
+6.356086E-02	-4.149436E-03
+7.281569E-02	-4.017849E-03
+8.183610E-02	-4.026858E-03
+9.085867E-02	-3.972181E-03
+9.986573E-02	-3.885363E-03
+1.089854E-01	-3.681355E-03
+1.181768E-01	-3.547279E-03
+1.272535E-01	-3.481035E-03
+1.362774E-01	-3.473022E-03
+1.454444E-01	-3.277226E-03
+1.545805E-01	-3.146487E-03
+1.635162E-01	-3.058108E-03
+1.725338E-01	-3.046024E-03
+1.815719E-01	-2.939529E-03
+1.907432E-01	-2.731444E-03
+2.000080E-01	-2.602607E-03
